district,school,gender,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
Jumoke Academy District,Jumoke Academy,Female,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Jumoke Academy District,Jumoke Academy,Male,,,,,*,2610113,Jumoke Academy,Jumoke Academy District
Killingly School District,Killingly High School,Female,82.4,83.3,89.7,87.2,87.8,0696111,Killingly High School,Killingly School District
Killingly School District,Killingly High School,Male,74.2,69.8,77.3,78.9,82.4,0696111,Killingly High School,Killingly School District
Learn,Connecticut River Academy,Female,,*,92.3,94.1,89.1,2456014,Connecticut River Academy,Learn
Learn,Connecticut River Academy,Male,,*,93.3,91.2,92.7,2456014,Connecticut River Academy,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Female,,,*,96.0,100.0,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Marine Science Magnet High School of Southeastern Connecticut,Male,,*,*,80.0,97.1,2456114,Marine Science Magnet High School of Southeastern Connecticut,Learn
Learn,Three Rivers Middle College Magnet School,Female,,*,88.0,*,95.5,2456214,Three Rivers Middle College Magnet School,Learn
Learn,Three Rivers Middle College Magnet School,Male,,*,*,*,*,2456214,Three Rivers Middle College Magnet School,Learn
Lebanon School District,Lyman Memorial High School,Female,89.7,*,*,*,*,0716211,Lyman Memorial High School,Lebanon School District
Lebanon School District,Lyman Memorial High School,Male,90.0,*,*,*,*,0716211,Lyman Memorial High School,Lebanon School District
Ledyard School District,Ledyard High School,Female,93.9,93.8,*,96.5,91.5,0726111,Ledyard High School,Ledyard School District
Ledyard School District,Ledyard High School,Male,90.4,91.1,*,93.8,96.8,0726111,Ledyard High School,Ledyard School District
Lisbon School District,Community Connection - The Big Picture High School,Female,*,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Lisbon School District,Community Connection - The Big Picture High School,Male,,*,,,,0736011,Community Connection - The Big Picture High School,Lisbon School District
Litchfield School District,Litchfield High School,Female,100.0,*,100.0,100.0,*,0746111,Litchfield High School,Litchfield School District
Litchfield School District,Litchfield High School,Male,96.2,*,91.2,100.0,*,0746111,Litchfield High School,Litchfield School District
Madison School District,Daniel Hand High School,Female,*,*,97.6,*,97.3,0766111,Daniel Hand High School,Madison School District
Madison School District,Daniel Hand High School,Male,*,*,97.4,*,98.7,0766111,Daniel Hand High School,Madison School District
Manchester School District,Manchester High School,Female,81.7,81.5,88.1,89.2,91.3,0776111,Manchester High School,Manchester School District
Manchester School District,Manchester High School,Male,71.9,76.1,86.3,83.2,89.4,0776111,Manchester High School,Manchester School District
Meriden School District,Francis T. Maloney High School,Female,71.6,80.1,76.6,78.7,81.0,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Francis T. Maloney High School,Male,68.8,67.5,70.3,72.1,69.4,0806111,Francis T. Maloney High School,Meriden School District
Meriden School District,Orville H. Platt High School,Female,72.5,73.0,86.7,78.1,77.0,0806211,Orville H. Platt High School,Meriden School District
Meriden School District,Orville H. Platt High School,Male,65.9,65.2,75.6,75.4,68.2,0806211,Orville H. Platt High School,Meriden School District
Middletown School District,Middletown High School,Female,80.6,86.4,91.4,94.0,95.2,0836211,Middletown High School,Middletown School District
Middletown School District,Middletown High School,Male,76.6,81.0,87.4,96.7,91.5,0836211,Middletown High School,Middletown School District
Milford School District,Jonathan Law High School,Female,86.5,88.7,94.0,98.1,98.2,0846211,Jonathan Law High School,Milford School District
Milford School District,Jonathan Law High School,Male,76.4,72.7,84.5,83.3,94.4,0846211,Jonathan Law High School,Milford School District
Milford School District,Joseph A. Foran High School,Female,92.8,90.4,95.8,95.5,99.0,0846311,Joseph A. Foran High School,Milford School District
Milford School District,Joseph A. Foran High School,Male,89.3,90.6,96.7,97.5,99.1,0846311,Joseph A. Foran High School,Milford School District
Monroe School District,Masuk High School,Female,*,*,*,100.0,100.0,0856111,Masuk High School,Monroe School District
Monroe School District,Masuk High School,Male,*,*,*,100.0,98.6,0856111,Masuk High School,Monroe School District
Montville School District,Montville High School,Female,89.1,*,89.0,95.2,92.9,0866111,Montville High School,Montville School District
Montville School District,Montville High School,Male,89.0,*,89.3,96.5,96.4,0866111,Montville High School,Montville School District
Naugatuck School District,Naugatuck High School,Female,90.0,83.1,87.6,91.1,86.2,0886111,Naugatuck High School,Naugatuck School District
Naugatuck School District,Naugatuck High School,Male,79.6,74.0,75.9,80.7,84.3,0886111,Naugatuck High School,Naugatuck School District
New Britain School District,New Britain High School,Female,64.6,68.9,68.4,72.9,79.0,0896111,New Britain High School,New Britain School District
New Britain School District,New Britain High School,Male,62.1,58.6,62.7,67.0,72.1,0896111,New Britain High School,New Britain School District
New Canaan School District,New Canaan High School,Female,*,97.7,*,*,*,0906111,New Canaan High School,New Canaan School District
New Canaan School District,New Canaan High School,Male,*,97.5,*,*,*,0906111,New Canaan High School,New Canaan School District
New Fairfield School District,New Fairfield High School,Female,97.7,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Fairfield School District,New Fairfield High School,Male,98.0,*,*,*,*,0916111,New Fairfield High School,New Fairfield School District
New Haven School District,Cooperative High School,Female,91.3,91.1,94.3,94.7,93.3,0936411,Cooperative High School,New Haven School District
New Haven School District,Cooperative High School,Male,87.9,85.7,93.2,94.1,100.0,0936411,Cooperative High School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Female,,,,*,100.0,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,Engineering - Science University Magnet School,Male,,,,95.3,87.9,0931711,Engineering - Science University Magnet School,New Haven School District
New Haven School District,High School In The Community,Female,63.4,64.3,45.9,50.0,66.7,0936611,High School In The Community,New Haven School District
New Haven School District,High School In The Community,Male,42.9,46.7,50.0,38.1,30.0,0936611,High School In The Community,New Haven School District
New Haven School District,Hill Regional Career High School,Female,89.5,95.1,89.9,95.4,92.5,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,Hill Regional Career High School,Male,87.1,86.0,84.6,84.3,78.3,0936311,Hill Regional Career High School,New Haven School District
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Female,*,*,*,*,*,,,
New Haven School District,"Hyde School of Health, Science and Sports Medicine",Male,78.8,75.9,86.2,89.2,93.8,,,
New Haven School District,James Hillhouse High School,Female,63.1,64.6,74.2,71.1,88.4,0936211,James Hillhouse High School,New Haven School District
New Haven School District,James Hillhouse High School,Male,43.8,51.1,64.7,70.1,72.3,0936211,James Hillhouse High School,New Haven School District
New Haven School District,Metropolitan Business Academy,Female,92.6,81.0,89.5,85.7,90.6,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,Metropolitan Business Academy,Male,*,81.1,91.4,86.0,93.5,0936011,Metropolitan Business Academy,New Haven School District
New Haven School District,New Haven Academy,Female,70.4,74.4,91.2,77.8,85.7,0937011,New Haven Academy,New Haven School District
New Haven School District,New Haven Academy,Male,*,56.3,77.4,68.0,50.0,0937011,New Haven Academy,New Haven School District
New Haven School District,Sound School,Female,93.5,92.1,97.1,92.3,100.0,0936711,Sound School,New Haven School District
New Haven School District,Sound School,Male,92.1,92.9,90.0,87.0,95.3,0936711,Sound School,New Haven School District
New Haven School District,Wilbur Cross High School,Female,76.2,76.0,75.2,69.6,80.5,0936111,Wilbur Cross High School,New Haven School District
New Haven School District,Wilbur Cross High School,Male,62.1,52.9,56.3,63.5,72.2,0936111,Wilbur Cross High School,New Haven School District
New London School District,New London High School,Female,66.3,68.3,77.6,87.6,80.9,0956111,New London High School,New London School District
New London School District,New London High School,Male,63.7,61.7,68.8,67.3,*,0956111,New London High School,New London School District
New London School District,Science and Technology Magnet School of Southeastern Connecticut,Male,,,,,*,0951311,Science and Technology Magnet School of Southeastern Connecticut,New London School District
New Milford School District,New Milford High School,Female,94.5,91.1,94.0,95.7,94.3,0966111,New Milford High School,New Milford School District
New Milford School District,New Milford High School,Male,90.0,87.3,87.6,90.3,92.7,0966111,New Milford High School,New Milford School District
Newington School District,Newington High School,Female,95.5,93.1,95.7,95.8,95.3,0946111,Newington High School,Newington School District
Newington School District,Newington High School,Male,85.7,88.0,90.3,89.9,90.4,0946111,Newington High School,Newington School District
Newtown School District,Newtown High School,Female,95.0,94.7,97.5,98.7,97.5,0976111,Newtown High School,Newtown School District
Newtown School District,Newtown High School,Male,95.1,94.2,96.3,94.5,94.9,0976111,Newtown High School,Newtown School District
North Branford School District,North Branford High School,Female,*,95.7,93.8,*,95.9,0996111,North Branford High School,North Branford School District
North Branford School District,North Branford High School,Male,*,96.2,91.5,*,88.6,0996111,North Branford High School,North Branford School District
North Haven School District,North Haven High School,Female,95.1,94.7,91.0,97.9,*,1016111,North Haven High School,North Haven School District
North Haven School District,North Haven High School,Male,95.6,82.4,92.2,91.5,*,1016111,North Haven High School,North Haven School District
North Stonington School District,Wheeler High School,Female,*,*,*,*,*,1026111,Wheeler High School,North Stonington School District
North Stonington School District,Wheeler High School,Male,80.0,*,*,*,*,1026111,Wheeler High School,North Stonington School District
Norwalk School District,Brien McMahon High School,Female,92.6,90.1,90.0,95.8,98.6,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Brien McMahon High School,Male,84.9,87.4,83.5,94.1,93.4,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Norwalk High School,Female,88.7,*,*,90.6,92.8,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk High School,Male,*,*,90.7,91.5,88.0,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Female,*,*,*,47.6,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Male,*,*,*,33.3,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwich Free Academy District,Norwich Free Academy,Female,89.2,87.1,90.3,92.1,86.5,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich Free Academy District,Norwich Free Academy,Male,82.3,83.6,84.4,84.7,83.9,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich School District,Thames River Academy,Female,*,,,,,1046111,Thames River Academy,Norwich School District
Norwich School District,Thames River Academy,Male,*,,,,,1046111,Thames River Academy,Norwich School District
Old Saybrook School District,Old Saybrook Senior High School,Female,*,*,95.2,*,*,1066111,Old Saybrook Senior High School,Old Saybrook School District
Old Saybrook School District,Old Saybrook Senior High School,Male,*,*,93.0,*,*,1066111,Old Saybrook Senior High School,Old Saybrook School District
Oxford School District,Oxford High School,Female,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Oxford School District,Oxford High School,Male,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Path Academy District,Path Academy,Female,,,,,*,2930113,Path Academy,Path Academy District
Path Academy District,Path Academy,Male,,,,,*,2930113,Path Academy,Path Academy District
Plainfield School District,Plainfield High School,Female,87.0,89.9,89.1,85.9,88.6,1096111,Plainfield High School,Plainfield School District
Plainfield School District,Plainfield High School,Male,87.6,79.6,79.7,78.4,79.0,1096111,Plainfield High School,Plainfield School District
Plainville School District,Plainville High School,Female,90.7,94.4,91.1,90.8,96.0,1106111,Plainville High School,Plainville School District
Plainville School District,Plainville High School,Male,96.9,85.3,91.4,89.0,90.6,1106111,Plainville High School,Plainville School District
Plymouth School District,Terryville High School,Female,83.8,85.9,94.2,93.0,93.9,1116111,Terryville High School,Plymouth School District
Plymouth School District,Terryville High School,Male,84.5,89.8,90.7,86.7,83.9,1116111,Terryville High School,Plymouth School District
Portland School District,Portland High School,Female,*,*,94.0,95.9,*,1136111,Portland High School,Portland School District
Portland School District,Portland High School,Male,*,*,91.9,85.7,*,1136111,Portland High School,Portland School District
Putnam School District,Putnam High School,Female,88.0,90.9,89.7,*,*,1166111,Putnam High School,Putnam School District
Putnam School District,Putnam High School,Male,88.6,70.8,83.3,*,*,1166111,Putnam High School,Putnam School District
Regional School District 01,Housatonic Valley Regional High School,Female,*,89.1,95.0,95.5,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 01,Housatonic Valley Regional High School,Male,*,92.5,83.3,92.9,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 04,Valley Regional High School,Female,96.3,*,*,*,97.7,2046112,Valley Regional High School,Regional School District 04
Regional School District 04,Valley Regional High School,Male,87.3,*,*,*,100.0,2046112,Valley Regional High School,Regional School District 04
Regional School District 05,Amity Regional High School,Female,97.7,97.3,97.9,98.1,96.2,2056112,Amity Regional High School,Regional School District 05
Regional School District 05,Amity Regional High School,Male,95.9,95.6,96.9,96.1,95.7,2056112,Amity Regional High School,Regional School District 05
Regional School District 06,Wamogo Regional High School,Female,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 06,Wamogo Regional High School,Male,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 07,Northwestern Regional High School,Female,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 07,Northwestern Regional High School,Male,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 08,RHAM High School,Female,93.6,*,95.1,98.3,*,2086112,RHAM High School,Regional School District 08
Regional School District 08,RHAM High School,Male,89.0,*,93.2,88.6,*,2086112,RHAM High School,Regional School District 08
Regional School District 08,Region Alternative High School,Female,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 08,Region Alternative High School,Male,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 09,Joel Barlow High School,Female,*,95.9,*,100.0,96.9,2096112,Joel Barlow High School,Regional School District 09
Regional School District 09,Joel Barlow High School,Male,*,95.6,*,95.9,98.3,2096112,Joel Barlow High School,Regional School District 09
Regional School District 10,Lewis S. Mills High School,Female,97.3,91.8,95.5,*,95.1,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 10,Lewis S. Mills High School,Male,95.8,93.1,94.1,*,95.6,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 11,Parish Hill High School,Female,*,*,86.4,100.0,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 11,Parish Hill High School,Male,*,*,*,100.0,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 12,Shepaug Valley High School,Female,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley High School,Male,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley School,Female,,,*,100.0,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 12,Shepaug Valley School,Male,,,*,94.6,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 13,Coginchaug Regional High School,Female,*,*,*,100.0,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 13,Coginchaug Regional High School,Male,*,*,*,100.0,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 14,Nonnewaug High School,Female,*,95.4,100.0,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 14,Nonnewaug High School,Male,*,92.1,94.0,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 15,Pomperaug Regional High School,Female,97.0,95.2,*,95.4,97.9,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 15,Pomperaug Regional High School,Male,90.3,94.7,*,95.6,96.3,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 16,Woodland Regional High School,Female,93.8,93.8,97.9,*,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 16,Woodland Regional High School,Male,90.8,87.4,91.3,*,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 17,Haddam-Killingworth High School,Female,*,*,*,*,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 17,Haddam-Killingworth High School,Male,*,*,*,*,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 18,Lyme-Old Lyme High School,Female,*,*,94.5,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 18,Lyme-Old Lyme High School,Male,*,*,100.0,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 19,E. O. Smith High School,Female,89.9,87.7,94.8,*,95.2,2196112,E. O. Smith High School,Regional School District 19
Regional School District 19,E. O. Smith High School,Male,84.6,87.5,96.2,*,95.4,2196112,E. O. Smith High School,Regional School District 19
Ridgefield School District,Ridgefield High School,Female,99.0,*,98.2,97.7,98.6,1186111,Ridgefield High School,Ridgefield School District
Ridgefield School District,Ridgefield High School,Male,97.8,*,97.4,98.6,97.2,1186111,Ridgefield High School,Ridgefield School District
Rocky Hill School District,Rocky Hill High School,Female,94.9,96.3,95.9,96.1,96.6,1196111,Rocky Hill High School,Rocky Hill School District
Rocky Hill School District,Rocky Hill High School,Male,89.9,84.2,88.1,93.9,97.6,1196111,Rocky Hill High School,Rocky Hill School District
Seymour School District,Seymour High School,Female,93.5,88.5,90.0,88.7,*,1246111,Seymour High School,Seymour School District
Seymour School District,Seymour High School,Male,84.9,85.6,86.4,92.8,*,1246111,Seymour High School,Seymour School District
Shelton School District,Shelton High School,Female,93.0,89.9,94.2,*,95.6,1266111,Shelton High School,Shelton School District
Shelton School District,Shelton High School,Male,90.9,92.0,89.7,*,92.8,1266111,Shelton High School,Shelton School District
Simsbury School District,Simsbury High School,Female,98.4,*,*,98.3,98.8,1286111,Simsbury High School,Simsbury School District
Simsbury School District,Simsbury High School,Male,95.9,*,*,96.9,97.8,1286111,Simsbury High School,Simsbury School District
Somers School District,Somers High School,Female,*,*,*,*,*,1296111,Somers High School,Somers School District
Somers School District,Somers High School,Male,*,*,*,*,*,1296111,Somers High School,Somers School District
South Windsor School District,South Windsor High School,Female,97.1,95.5,97.5,95.7,95.8,1326211,South Windsor High School,South Windsor School District
South Windsor School District,South Windsor High School,Male,93.7,95.5,96.4,95.4,94.1,1326211,South Windsor High School,South Windsor School District
Southington School District,Southington High School,Female,93.7,93.2,96.2,98.3,*,1316211,Southington High School,Southington School District
Southington School District,Southington High School,Male,91.1,89.1,92.2,93.8,*,1316211,Southington High School,Southington School District
Stafford School District,Stafford High School,Female,90.3,92.8,*,96.6,*,1346111,Stafford High School,Stafford School District
Stafford School District,Stafford High School,Male,85.5,81.0,*,90.3,*,1346111,Stafford High School,Stafford School District
Stamford Academy District,Stamford Academy,Female,*,*,*,32.0,*,2826013,Stamford Academy,Stamford Academy District
Stamford Academy District,Stamford Academy,Male,*,*,*,34.8,*,2826013,Stamford Academy,Stamford Academy District
Stamford School District,Stamford High School,Female,87.1,88.2,93.0,90.0,92.9,1356111,Stamford High School,Stamford School District
Stamford School District,Stamford High School,Male,81.6,89.8,89.3,87.6,87.2,1356111,Stamford High School,Stamford School District
Stamford School District,The Academy of Information Technology,Female,98.6,100.0,100.0,98.6,100.0,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,The Academy of Information Technology,Male,97.9,99.0,97.9,98.9,96.9,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,Westhill High School,Female,87.2,88.5,90.1,86.4,91.7,1356311,Westhill High School,Stamford School District
Stamford School District,Westhill High School,Male,78.6,83.4,86.4,90.4,85.9,1356311,Westhill High School,Stamford School District
Stonington School District,Stonington High School,Female,*,95.4,*,*,*,1376111,Stonington High School,Stonington School District
Stonington School District,Stonington High School,Male,*,96.4,*,*,*,1376111,Stonington High School,Stonington School District
Stratford School District,Bunnell High School,Female,92.4,94.3,99.4,94.9,98.1,1386211,Bunnell High School,Stratford School District
Stratford School District,Bunnell High School,Male,82.3,93.9,96.5,97.3,93.8,1386211,Bunnell High School,Stratford School District
Stratford School District,Stratford High School,Female,90.4,94.6,94.4,92.1,91.7,1386111,Stratford High School,Stratford School District
Stratford School District,Stratford High School,Male,90.1,87.1,91.8,92.6,92.4,1386111,Stratford High School,Stratford School District
Suffield School District,Suffield High School,Female,89.8,96.0,97.4,*,94.9,1396111,Suffield High School,Suffield School District
Suffield School District,Suffield High School,Male,94.3,90.4,92.9,*,93.6,1396111,Suffield High School,Suffield School District
The Bridge Academy District,The Bridge Academy,Female,*,*,91.7,90.0,*,2696113,The Bridge Academy,The Bridge Academy District
The Bridge Academy District,The Bridge Academy,Male,*,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Gilbert School District,The Gilbert School,Female,*,83.7,*,*,90.0,9026122,The Gilbert School,The Gilbert School District
The Gilbert School District,The Gilbert School,Male,*,80.5,*,*,80.3,9026122,The Gilbert School,The Gilbert School District
Thomaston School District,Thomaston High School,Female,*,*,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thomaston School District,Thomaston High School,Male,*,*,*,*,100.0,1406211,Thomaston High School,Thomaston School District
Thompson School District,Tourtellotte Memorial High School,Female,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Thompson School District,Tourtellotte Memorial High School,Male,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Tolland School District,Tolland High School,Female,*,*,93.8,*,100.0,1426111,Tolland High School,Tolland School District
Tolland School District,Tolland High School,Male,*,*,90.3,*,95.6,1426111,Tolland High School,Tolland School District
Torrington School District,Torrington High School,Female,82.4,91.8,88.7,91.6,86.2,1436111,Torrington High School,Torrington School District
Torrington School District,Torrington High School,Male,77.5,81.3,86.5,84.2,81.6,1436111,Torrington High School,Torrington School District
Trumbull School District,Trumbull High School,Female,98.6,98.2,98.6,*,99.3,1446111,Trumbull High School,Trumbull School District
Trumbull School District,Trumbull High School,Male,97.6,98.5,95.8,*,98.7,1446111,Trumbull High School,Trumbull School District
Vernon School District,Rockville High School,Female,85.2,88.7,88.4,86.7,85.2,1466111,Rockville High School,Vernon School District
Vernon School District,Rockville High School,Male,79.7,76.6,79.4,87.4,74.4,1466111,Rockville High School,Vernon School District
Wallingford School District,Lyman Hall High School,Female,94.7,95.3,92.6,95.0,94.8,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Lyman Hall High School,Male,92.4,86.1,88.7,92.2,94.9,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Female,99.2,94.3,96.4,97.3,95.2,1486211,Mark T. Sheehan High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Male,90.1,92.9,95.6,93.0,91.7,1486211,Mark T. Sheehan High School,Wallingford School District
Waterbury School District,Crosby High School,Female,63.1,68.2,78.6,73.9,72.4,1516211,Crosby High School,Waterbury School District
Waterbury School District,Crosby High School,Male,57.7,62.4,66.0,65.6,75.9,1516211,Crosby High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Female,68.1,71.1,69.8,71.2,79.6,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Male,61.6,67.7,66.0,70.0,70.8,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Female,94.5,92.6,95.8,94.1,93.8,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Male,97.1,76.3,97.9,91.4,94.1,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Wilby High School,Female,66.1,79.4,67.9,75.1,83.4,1516311,Wilby High School,Waterbury School District
Waterbury School District,Wilby High School,Male,60.2,65.8,64.0,66.7,73.8,1516311,Wilby High School,Waterbury School District
Waterford School District,Waterford High School,Female,92.4,92.7,100.0,97.2,95.7,1526111,Waterford High School,Waterford School District
Waterford School District,Waterford High School,Male,91.7,93.8,90.9,92.3,95.3,1526111,Waterford High School,Waterford School District
Watertown School District,Watertown High School,Female,94.2,91.4,94.4,94.1,*,1536111,Watertown High School,Watertown School District
Watertown School District,Watertown High School,Male,89.1,82.6,88.7,86.7,*,1536111,Watertown High School,Watertown School District
West Hartford School District,Conard High School,Female,96.5,96.2,97.0,94.1,98.0,1556111,Conard High School,West Hartford School District
West Hartford School District,Conard High School,Male,89.3,93.4,95.5,*,92.9,1556111,Conard High School,West Hartford School District
West Hartford School District,Hall High School,Female,98.0,96.1,96.6,97.8,100.0,1556211,Hall High School,West Hartford School District
West Hartford School District,Hall High School,Male,92.3,94.1,98.5,96.5,98.8,1556211,Hall High School,West Hartford School District
West Hartford School District,REACH,Female,,,,*,,1557311,REACH,West Hartford School District
West Hartford School District,REACH,Male,,,,*,,1557311,REACH,West Hartford School District
West Haven School District,West Haven High School,Female,78.9,79.6,81.8,83.3,83.9,1566111,West Haven High School,West Haven School District
West Haven School District,West Haven High School,Male,67.8,63.0,71.1,75.2,81.1,1566111,West Haven High School,West Haven School District
Westbrook School District,Westbrook High School,Female,90.7,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Westbrook School District,Westbrook High School,Male,92.3,*,*,*,*,1546111,Westbrook High School,Westbrook School District
Weston School District,Weston High School,Female,100.0,*,97.7,95.9,*,1576111,Weston High School,Weston School District
Weston School District,Weston High School,Male,100.0,*,100.0,96.8,*,1576111,Weston High School,Weston School District
Westport School District,Staples High School,Female,98.7,*,99.1,*,*,1586111,Staples High School,Westport School District
Westport School District,Staples High School,Male,97.9,*,98.3,*,*,1586111,Staples High School,Westport School District
Wethersfield School District,Wethersfield High School,Female,94.5,94.4,91.9,94.8,*,1596111,Wethersfield High School,Wethersfield School District
Wethersfield School District,Wethersfield High School,Male,88.1,89.1,92.9,89.0,*,1596111,Wethersfield High School,Wethersfield School District
Wilton School District,Wilton High School,Female,*,*,*,98.7,*,1616111,Wilton High School,Wilton School District
Wilton School District,Wilton High School,Male,*,*,*,98.3,*,1616111,Wilton High School,Wilton School District
Windham School District,Windham High School,Female,78.9,77.8,77.5,83.3,84.2,1636111,Windham High School,Windham School District
Windham School District,Windham High School,Male,68.4,74.8,70.7,79.1,89.5,1636111,Windham High School,Windham School District
Windsor Locks School District,Windsor Locks High School,Female,92.9,*,*,*,91.4,1656111,Windsor Locks High School,Windsor Locks School District
Windsor Locks School District,Windsor Locks High School,Male,92.0,*,*,*,96.7,1656111,Windsor Locks High School,Windsor Locks School District
Windsor School District,Windsor High School,Female,89.6,83.9,93.5,93.6,94.3,1646111,Windsor High School,Windsor School District
Windsor School District,Windsor High School,Male,81.8,79.9,88.4,91.4,91.5,1646111,Windsor High School,Windsor School District
Wolcott School District,Wolcott High School,Female,94.7,93.7,97.5,*,94.9,1666111,Wolcott High School,Wolcott School District
Wolcott School District,Wolcott High School,Male,92.4,94.5,94.3,*,92.1,1666111,Wolcott High School,Wolcott School District
Woodstock Academy District,Woodstock Academy,Female,95.9,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
Woodstock Academy District,Woodstock Academy,Male,94.9,*,*,*,*,9036122,Woodstock Academy,Woodstock Academy District
