school_code,district,drg,school,grad_rate,year
2880113,Achievement First Hartford Academy Inc. District,,Achievement First Hartford Academy Inc.,,2011-12
2795113,Amistad Academy District,,Amistad Academy,71.4,2011-12
0026111,Ansonia School District,H,Ansonia High School,76.5,2011-12
0046111,Avon School District,B,Avon High School,96.5,2011-12
0076111,Berlin School District,D,Berlin High School,95.4,2011-12
0096111,Bethel School District,D,Bethel High School,94.9,2011-12
0116111,Bloomfield School District,G,Bloomfield High School,83.3,2011-12
0116311,Bloomfield School District,G,Global Experience Magnet School,,2011-12
0116411,Bloomfield School District,G,Learning Academy at Bloomfield,,2011-12
0116211,Bloomfield School District,G,The Big Picture High School,,2011-12
0126111,Bolton School District,C,Bolton High School,90.4,2011-12
0146111,Branford School District,D,Branford High School,95.2,2011-12
2850113,Bridgeport Achievement First District,,Achievement First Bridgeport Academy,,2011-12
0150811,Bridgeport School District,I,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",,2011-12
0156111,Bridgeport School District,I,Bassick High School,47.7,2011-12
0150611,Bridgeport School District,I,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",,2011-12
0156211,Bridgeport School District,I,Central High School,78.4,2011-12
0156311,Bridgeport School District,I,Harding High School,66.1,2011-12
0151511,Bridgeport School District,I,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,,2011-12
0176111,Bristol School District,G,Bristol Central High School,86.1,2011-12
0176211,Bristol School District,G,Bristol Eastern High School,86.2,2011-12
0186111,Brookfield School District,B,Brookfield High School,97.2,2011-12
0236111,Canton School District,C,Canton High School,97.5,2011-12
2970113,Capital Preparatory Harbor School Inc. District,,Capital Preparatory Harbor School Inc.,,2011-12
2415114,Capitol Region Education Council,,Academy of Aerospace and Engineering,,2011-12
2416514,Capitol Region Education Council,,Academy of Science and Innovation,,2011-12
2416314,Capitol Region Education Council,,Great Path Academy at MCC,81.0,2011-12
2416414,Capitol Region Education Council,,Greater Hartford Academy of  the Arts High School - Full Time,87.9,2011-12
,Capitol Region Education Council,,Medical Professions and Teacher Preparation Academy,,2011-12
2416114,Capitol Region Education Council,,Metropolitan Learning Center for Global and International Studies,93.4,2011-12
2415214,Capitol Region Education Council,,Public Safety Academy,,2011-12
2416714,Capitol Region Education Council,,Two Rivers Magnet High School,,2011-12
0256111,Cheshire School District,B,Cheshire High School,98.5,2011-12
0276111,Clinton School District,D,The Morgan School,92.6,2011-12
0286111,Colchester School District,D,Bacon Academy,94.7,2011-12
2686113,Common Ground High School District,,Common Ground High School,90.3,2011-12
9001516,Connecticut Technical High School System,,A. I. Prince Technical High School,92.9,2011-12
9001116,Connecticut Technical High School System,,Bullard-Havens Technical High School,94.7,2011-12
9001916,Connecticut Technical High School System,,E. C. Goodwin Technical High School,93.0,2011-12
9001416,Connecticut Technical High School System,,Eli Whitney Technical High School,92.0,2011-12
9002716,Connecticut Technical High School System,,Ella T. Grasso Southeastern Technical High School,94.2,2011-12
9002516,Connecticut Technical High School System,,Emmett O'Brien Technical High School,97.0,2011-12
9001716,Connecticut Technical High School System,,H. C. Wilcox Technical High School,97.1,2011-12
9001316,Connecticut Technical High School System,,H. H. Ellis Technical High School,96.2,2011-12
9001216,Connecticut Technical High School System,,Henry Abbott Technical High School,96.9,2011-12
9001616,Connecticut Technical High School System,,Howell Cheney Technical High School,97.2,2011-12
9002016,Connecticut Technical High School System,,Norwich Technical High School,96.7,2011-12
9002216,Connecticut Technical High School System,,Oliver Wolcott Technical High School,97.5,2011-12
9002616,Connecticut Technical High School System,,Platt Technical High School,97.2,2011-12
9001816,Connecticut Technical High School System,,Vinal Technical High School,96.2,2011-12
9002316,Connecticut Technical High School System,,W. F. Kaynor Technical High School,98.3,2011-12
9002416,Connecticut Technical High School System,,Windham Technical High School,97.1,2011-12
0326111,Coventry School District,E,Coventry High School,86.8,2011-12
0336111,Cromwell School District,D,Cromwell High School,94.5,2011-12
0346211,Danbury School District,H,Alternative Center For Excellence,,2011-12
0346111,Danbury School District,H,Danbury High School,80.3,2011-12
0356111,Darien School District,A,Darien High School,97.1,2011-12
0376111,Derby School District,H,Derby High School,77.5,2011-12
0406111,East Granby School District,D,East Granby High School,,2011-12
0416111,East Haddam School District,E,Nathan Hale-Ray High School,93.9,2011-12
0426111,East Hampton School District,D,East Hampton High School,95.6,2011-12
0436311,East Hartford School District,H,Connecticut IB Academy,92.1,2011-12
0436211,East Hartford School District,H,East Hartford High School,87.1,2011-12
0436411,East Hartford School District,H,Stevens Alternate High school,,2011-12
0446111,East Haven School District,G,East Haven High School,75.1,2011-12
0456111,East Lyme School District,D,East Lyme High School,95.6,2011-12
0476111,East Windsor School District,F,East Windsor High School,88.4,2011-12
2536014,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Arts at the Capitol Theater Magnet School (ACT),88.9,2011-12
2536114,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Quinebaug Middle College,69.8,2011-12
0486111,Ellington School District,C,Ellington High School,91.0,2011-12
2890113,Elm City College Preparatory School District,,Elm City College Preparatory School,,2011-12
0496111,Enfield School District,F,Enfield High School,88.0,2011-12
0496211,Enfield School District,F,Enrico Fermi High School,87.8,2011-12
2726113,Explorations District,,Explorations,57.1,2011-12
0516011,Fairfield School District,B,Fairfield Ludlowe High School,96.3,2011-12
0516211,Fairfield School District,B,Fairfield Warde High School,92.6,2011-12
0526111,Farmington School District,B,Farmington High School,96.0,2011-12
0546111,Glastonbury School District,B,Glastonbury High School,96.3,2011-12
0566111,Granby School District,B,Granby Memorial High School,98.4,2011-12
0576111,Greenwich School District,B,Greenwich High School,92.5,2011-12
0586211,Griswold School District,F,Griswold High School,87.4,2011-12
0596111,Groton School District,G,Robert E. Fitch High School,83.2,2011-12
0606111,Guilford School District,B,Guilford High School,98.2,2011-12
0626111,Hamden School District,G,Hamden High School,85.8,2011-12
,Hartford School District,,Bulkeley High School Upper School,63.3,2011-12
0643911,Hartford School District,I,Capital Community College Magnet Academy,,2011-12
0646911,Hartford School District,I,Capital Preparatory Magnet School,97.0,2011-12
0646411,Hartford School District,I,Classical Magnet School,98.8,2011-12
,Hartford School District,,Culinary Arts Academy,65.2,2011-12
0643611,Hartford School District,I,Global Communications Academy,,2011-12
,Hartford School District,,Great Path Academy High School at MCC,,2011-12
0647911,Hartford School District,I,Great Path Academy at MCC,,2011-12
,Hartford School District,,HPHS Academy of Engineering and Green Technology,60.8,2011-12
,Hartford School District,,HPHS Academy of Nursing and Health Science,68.0,2011-12
0647411,Hartford School District,I,HPHS Law and Government Academy,47.4,2011-12
0645411,Hartford School District,I,Hartford Magnet Trinity College Academy,,2011-12
,Hartford School District,,High School Inc.,,2011-12
0647611,Hartford School District,I,"High School, Inc.",,2011-12
0647711,Hartford School District,I,Journalism and Media Academy Magnet School,,2011-12
0641111,Hartford School District,I,Kinsella Magnet School of Performing Arts,,2011-12
0647811,Hartford School District,I,OPPortunity High School,47.8,2011-12
0646611,Hartford School District,I,Pathways Academy of Technology and Design,93.0,2011-12
0646511,Hartford School District,I,Sports and Medical Sciences Academy,90.6,2011-12
0646711,Hartford School District,I,University High School of Science and Engineering,,2011-12
,Hartford School District,,University High of Science and Engineering,89.5,2011-12
2610113,Jumoke Academy District,,Jumoke Academy,,2011-12
0696111,Killingly School District,G,Killingly High School,78.2,2011-12
2456014,Learn,,Connecticut River Academy,,2011-12
2456114,Learn,,Marine Science Magnet High School of Southeastern Connecticut,,2011-12
2456214,Learn,,Three Rivers Middle College Magnet School,,2011-12
0716211,Lebanon School District,E,Lyman Memorial High School,89.8,2011-12
0726111,Ledyard School District,D,Ledyard High School,92.3,2011-12
0736011,Lisbon School District,E,Community Connection - The Big Picture High School,,2011-12
0746111,Litchfield School District,E,Litchfield High School,98.0,2011-12
0766111,Madison School District,B,Daniel Hand High School,98.2,2011-12
0776111,Manchester School District,G,Manchester High School,76.9,2011-12
0806111,Meriden School District,H,Francis T. Maloney High School,70.3,2011-12
0806211,Meriden School District,H,Orville H. Platt High School,69.6,2011-12
0836211,Middletown School District,G,Middletown High School,78.7,2011-12
0846211,Milford School District,D,Jonathan Law High School,81.2,2011-12
0846311,Milford School District,D,Joseph A. Foran High School,91.1,2011-12
0856111,Monroe School District,B,Masuk High School,,2011-12
0866111,Montville School District,F,Montville High School,89.0,2011-12
0886111,Naugatuck School District,G,Naugatuck High School,84.7,2011-12
0896111,New Britain School District,I,New Britain High School,63.3,2011-12
0906111,New Canaan School District,A,New Canaan High School,97.9,2011-12
0916111,New Fairfield School District,B,New Fairfield High School,97.8,2011-12
0936411,New Haven School District,I,Cooperative High School,90.4,2011-12
0931711,New Haven School District,I,Engineering - Science University Magnet School,,2011-12
0936611,New Haven School District,I,High School In The Community,53.9,2011-12
0936311,New Haven School District,I,Hill Regional Career High School,88.5,2011-12
,New Haven School District,,"Hyde School of Health, Science and Sports Medicine",79.2,2011-12
0936211,New Haven School District,I,James Hillhouse High School,54.9,2011-12
0936011,New Haven School District,I,Metropolitan Business Academy,81.8,2011-12
0937011,New Haven School District,I,New Haven Academy,68.2,2011-12
0936711,New Haven School District,I,Sound School,92.9,2011-12
0936111,New Haven School District,I,Wilbur Cross High School,69.0,2011-12
0956111,New London School District,I,New London High School,64.9,2011-12
0951311,New London School District,I,Science and Technology Magnet School of Southeastern Connecticut,,2011-12
0966111,New Milford School District,D,New Milford High School,92.1,2011-12
0946111,Newington School District,D,Newington High School,90.3,2011-12
0976111,Newtown School District,B,Newtown High School,95.1,2011-12
0996111,North Branford School District,E,North Branford High School,94.3,2011-12
1016111,North Haven School District,D,North Haven High School,95.4,2011-12
1026111,North Stonington School District,E,Wheeler High School,87.0,2011-12
1036211,Norwalk School District,H,Brien McMahon High School,88.8,2011-12
1036111,Norwalk School District,H,Norwalk High School,84.8,2011-12
1036311,Norwalk School District,H,Norwalk Pathways Academy at Briggs,31.3,2011-12
9016122,Norwich Free Academy District,G,Norwich Free Academy,86.0,2011-12
1046111,Norwich School District,H,Thames River Academy,17.1,2011-12
1066111,Old Saybrook School District,D,Old Saybrook Senior High School,95.8,2011-12
1086011,Oxford School District,C,Oxford High School,91.8,2011-12
2930113,Path Academy District,,Path Academy,,2011-12
1096111,Plainfield School District,G,Plainfield High School,87.3,2011-12
1106111,Plainville School District,F,Plainville High School,93.7,2011-12
1116111,Plymouth School District,F,Terryville High School,84.2,2011-12
1136111,Portland School District,E,Portland High School,91.3,2011-12
1166111,Putnam School District,G,Putnam High School,88.3,2011-12
2016112,Regional School District 01,E,Housatonic Valley Regional High School,95.6,2011-12
2046112,Regional School District 04,C,Valley Regional High School,91.9,2011-12
2056112,Regional School District 05,B,Amity Regional High School,96.8,2011-12
2066112,Regional School District 06,E,Wamogo Regional High School,,2011-12
2076112,Regional School District 07,C,Northwestern Regional High School,,2011-12
2086112,Regional School District 08,C,RHAM High School,91.2,2011-12
2086212,Regional School District 08,C,Region Alternative High School,,2011-12
2096112,Regional School District 09,A,Joel Barlow High School,,2011-12
2106112,Regional School District 10,C,Lewis S. Mills High School,96.5,2011-12
2116112,Regional School District 11,F,Parish Hill High School,95.1,2011-12
2126112,Regional School District 12,C,Shepaug Valley High School,84.9,2011-12
2120312,Regional School District 12,C,Shepaug Valley School,,2011-12
2136112,Regional School District 13,C,Coginchaug Regional High School,,2011-12
2146112,Regional School District 14,C,Nonnewaug High School,97.9,2011-12
2156212,Regional School District 15,B,Pomperaug Regional High School,93.6,2011-12
2166012,Regional School District 16,E,Woodland Regional High School,92.3,2011-12
2176112,Regional School District 17,C,Haddam-Killingworth High School,93.7,2011-12
2186112,Regional School District 18,C,Lyme-Old Lyme High School,,2011-12
2196112,Regional School District 19,C,E. O. Smith High School,87.5,2011-12
1186111,Ridgefield School District,A,Ridgefield High School,98.4,2011-12
1196111,Rocky Hill School District,D,Rocky Hill High School,92.3,2011-12
1246111,Seymour School District,F,Seymour High School,89.3,2011-12
1266111,Shelton School District,D,Shelton High School,92.0,2011-12
1286111,Simsbury School District,B,Simsbury High School,97.0,2011-12
1296111,Somers School District,C,Somers High School,97.1,2011-12
1326211,South Windsor School District,B,South Windsor High School,95.2,2011-12
1316211,Southington School District,D,Southington High School,92.5,2011-12
1346111,Stafford School District,F,Stafford High School,87.9,2011-12
2826013,Stamford Academy District,,Stamford Academy,44.4,2011-12
1356111,Stamford School District,H,Stamford High School,84.2,2011-12
1356411,Stamford School District,H,The Academy of Information Technology,98.2,2011-12
1356311,Stamford School District,H,Westhill High School,83.0,2011-12
1376111,Stonington School District,D,Stonington High School,94.4,2011-12
1386211,Stratford School District,G,Bunnell High School,87.3,2011-12
1386111,Stratford School District,G,Stratford High School,90.3,2011-12
1396111,Suffield School District,C,Suffield High School,92.1,2011-12
2696113,The Bridge Academy District,,The Bridge Academy,76.2,2011-12
9026122,The Gilbert School District,G,The Gilbert School,91.2,2011-12
1406211,Thomaston School District,E,Thomaston High School,93.3,2011-12
1416111,Thompson School District,F,Tourtellotte Memorial High School,85.9,2011-12
1426111,Tolland School District,C,Tolland High School,97.4,2011-12
1436111,Torrington School District,G,Torrington High School,79.9,2011-12
1446111,Trumbull School District,B,Trumbull High School,98.1,2011-12
1466111,Vernon School District,G,Rockville High School,82.5,2011-12
1486111,Wallingford School District,D,Lyman Hall High School,93.6,2011-12
1486211,Wallingford School District,D,Mark T. Sheehan High School,94.6,2011-12
1516211,Waterbury School District,I,Crosby High School,60.2,2011-12
1516411,Waterbury School District,I,John F. Kennedy High School,64.9,2011-12
1516011,Waterbury School District,I,Waterbury Arts Magnet School (High),95.3,2011-12
1516311,Waterbury School District,I,Wilby High School,63.1,2011-12
1526111,Waterford School District,D,Waterford High School,92.1,2011-12
1536111,Watertown School District,D,Watertown High School,91.7,2011-12
1556111,West Hartford School District,B,Conard High School,92.9,2011-12
1556211,West Hartford School District,B,Hall High School,95.2,2011-12
1557311,West Hartford School District,B,REACH,,2011-12
1566111,West Haven School District,H,West Haven High School,73.6,2011-12
1546111,Westbrook School District,E,Westbrook High School,91.5,2011-12
1576111,Weston School District,A,Weston High School,100.0,2011-12
1586111,Westport School District,A,Staples High School,98.4,2011-12
1596111,Wethersfield School District,D,Wethersfield High School,91.3,2011-12
1616111,Wilton School District,A,Wilton High School,98.7,2011-12
1636111,Windham School District,I,Windham High School,73.0,2011-12
1656111,Windsor Locks School District,F,Windsor Locks High School,92.4,2011-12
1646111,Windsor School District,D,Windsor High School,85.6,2011-12
1666111,Wolcott School District,F,Wolcott High School,93.6,2011-12
9036122,Woodstock Academy District,E,Woodstock Academy,95.4,2011-12
2880113,Achievement First Hartford Academy Inc. District,,Achievement First Hartford Academy Inc.,,2012-13
2795113,Amistad Academy District,,Amistad Academy,69.6,2012-13
0026111,Ansonia School District,H,Ansonia High School,76.1,2012-13
0046111,Avon School District,B,Avon High School,96.6,2012-13
0076111,Berlin School District,D,Berlin High School,96.2,2012-13
0096111,Bethel School District,D,Bethel High School,93.1,2012-13
0116111,Bloomfield School District,G,Bloomfield High School,91.2,2012-13
0116311,Bloomfield School District,G,Global Experience Magnet School,,2012-13
0116411,Bloomfield School District,G,Learning Academy at Bloomfield,,2012-13
0116211,Bloomfield School District,G,The Big Picture High School,,2012-13
0126111,Bolton School District,C,Bolton High School,,2012-13
0146111,Branford School District,D,Branford High School,92.9,2012-13
2850113,Bridgeport Achievement First District,,Achievement First Bridgeport Academy,,2012-13
0150811,Bridgeport School District,I,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",,2012-13
0156111,Bridgeport School District,I,Bassick High School,59.2,2012-13
0150611,Bridgeport School District,I,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",,2012-13
0156211,Bridgeport School District,I,Central High School,77.6,2012-13
0156311,Bridgeport School District,I,Harding High School,60.9,2012-13
0151511,Bridgeport School District,I,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,,2012-13
0176111,Bristol School District,G,Bristol Central High School,81.6,2012-13
0176211,Bristol School District,G,Bristol Eastern High School,81.5,2012-13
0186111,Brookfield School District,B,Brookfield High School,96.3,2012-13
0236111,Canton School District,C,Canton High School,95.1,2012-13
2970113,Capital Preparatory Harbor School Inc. District,,Capital Preparatory Harbor School Inc.,,2012-13
2415114,Capitol Region Education Council,,Academy of Aerospace and Engineering,86.8,2012-13
2416514,Capitol Region Education Council,,Academy of Science and Innovation,,2012-13
2416314,Capitol Region Education Council,,Great Path Academy at MCC,,2012-13
2416414,Capitol Region Education Council,,Greater Hartford Academy of  the Arts High School - Full Time,82.8,2012-13
,Capitol Region Education Council,,Medical Professions and Teacher Preparation Academy,,2012-13
2416114,Capitol Region Education Council,,Metropolitan Learning Center for Global and International Studies,94.5,2012-13
2415214,Capitol Region Education Council,,Public Safety Academy,,2012-13
2416714,Capitol Region Education Council,,Two Rivers Magnet High School,,2012-13
0256111,Cheshire School District,B,Cheshire High School,97.5,2012-13
0276111,Clinton School District,D,The Morgan School,89.5,2012-13
0286111,Colchester School District,D,Bacon Academy,94.0,2012-13
2686113,Common Ground High School District,,Common Ground High School,89.5,2012-13
9001516,Connecticut Technical High School System,,A. I. Prince Technical High School,88.4,2012-13
9001116,Connecticut Technical High School System,,Bullard-Havens Technical High School,96.4,2012-13
9001916,Connecticut Technical High School System,,E. C. Goodwin Technical High School,95.5,2012-13
9001416,Connecticut Technical High School System,,Eli Whitney Technical High School,83.3,2012-13
9002716,Connecticut Technical High School System,,Ella T. Grasso Southeastern Technical High School,98.0,2012-13
9002516,Connecticut Technical High School System,,Emmett O'Brien Technical High School,96.6,2012-13
9001716,Connecticut Technical High School System,,H. C. Wilcox Technical High School,99.4,2012-13
9001316,Connecticut Technical High School System,,H. H. Ellis Technical High School,100.0,2012-13
9001216,Connecticut Technical High School System,,Henry Abbott Technical High School,96.6,2012-13
9001616,Connecticut Technical High School System,,Howell Cheney Technical High School,97.0,2012-13
9002016,Connecticut Technical High School System,,Norwich Technical High School,98.7,2012-13
9002216,Connecticut Technical High School System,,Oliver Wolcott Technical High School,98.8,2012-13
9002616,Connecticut Technical High School System,,Platt Technical High School,99.0,2012-13
9001816,Connecticut Technical High School System,,Vinal Technical High School,94.3,2012-13
9002316,Connecticut Technical High School System,,W. F. Kaynor Technical High School,97.9,2012-13
9002416,Connecticut Technical High School System,,Windham Technical High School,98.5,2012-13
0326111,Coventry School District,E,Coventry High School,90.4,2012-13
0336111,Cromwell School District,D,Cromwell High School,93.6,2012-13
0346211,Danbury School District,H,Alternative Center For Excellence,,2012-13
0346111,Danbury School District,H,Danbury High School,,2012-13
0356111,Darien School District,A,Darien High School,97.8,2012-13
0376111,Derby School District,H,Derby High School,68.6,2012-13
0406111,East Granby School District,D,East Granby High School,,2012-13
0416111,East Haddam School District,E,Nathan Hale-Ray High School,,2012-13
0426111,East Hampton School District,D,East Hampton High School,96.9,2012-13
0436311,East Hartford School District,H,Connecticut IB Academy,94.9,2012-13
0436211,East Hartford School District,H,East Hartford High School,85.7,2012-13
0436411,East Hartford School District,H,Stevens Alternate High school,51.3,2012-13
0446111,East Haven School District,G,East Haven High School,75.5,2012-13
0456111,East Lyme School District,D,East Lyme High School,94.8,2012-13
0476111,East Windsor School District,F,East Windsor High School,83.2,2012-13
2536014,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Arts at the Capitol Theater Magnet School (ACT),92.3,2012-13
2536114,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Quinebaug Middle College,69.8,2012-13
0486111,Ellington School District,C,Ellington High School,91.9,2012-13
2890113,Elm City College Preparatory School District,,Elm City College Preparatory School,,2012-13
0496111,Enfield School District,F,Enfield High School,82.0,2012-13
0496211,Enfield School District,F,Enrico Fermi High School,93.0,2012-13
2726113,Explorations District,,Explorations,65.6,2012-13
0516011,Fairfield School District,B,Fairfield Ludlowe High School,95.3,2012-13
0516211,Fairfield School District,B,Fairfield Warde High School,91.4,2012-13
0526111,Farmington School District,B,Farmington High School,96.9,2012-13
0546111,Glastonbury School District,B,Glastonbury High School,97.3,2012-13
0566111,Granby School District,B,Granby Memorial High School,98.4,2012-13
0576111,Greenwich School District,B,Greenwich High School,95.0,2012-13
0586211,Griswold School District,F,Griswold High School,88.0,2012-13
0596111,Groton School District,G,Robert E. Fitch High School,83.4,2012-13
0606111,Guilford School District,B,Guilford High School,93.9,2012-13
0626111,Hamden School District,G,Hamden High School,87.1,2012-13
,Hartford School District,,Bulkeley High School Upper School,71.6,2012-13
0643911,Hartford School District,I,Capital Community College Magnet Academy,,2012-13
0646911,Hartford School District,I,Capital Preparatory Magnet School,100.0,2012-13
0646411,Hartford School District,I,Classical Magnet School,94.4,2012-13
,Hartford School District,,Culinary Arts Academy,56.2,2012-13
0643611,Hartford School District,I,Global Communications Academy,,2012-13
,Hartford School District,,Great Path Academy High School at MCC,94.1,2012-13
0647911,Hartford School District,I,Great Path Academy at MCC,,2012-13
,Hartford School District,,HPHS Academy of Engineering and Green Technology,63.4,2012-13
,Hartford School District,,HPHS Academy of Nursing and Health Science,68.3,2012-13
0647411,Hartford School District,I,HPHS Law and Government Academy,71.7,2012-13
0645411,Hartford School District,I,Hartford Magnet Trinity College Academy,,2012-13
,Hartford School District,,High School Inc.,70.8,2012-13
0647611,Hartford School District,I,"High School, Inc.",,2012-13
0647711,Hartford School District,I,Journalism and Media Academy Magnet School,66.7,2012-13
0641111,Hartford School District,I,Kinsella Magnet School of Performing Arts,,2012-13
0647811,Hartford School District,I,OPPortunity High School,58.4,2012-13
0646611,Hartford School District,I,Pathways Academy of Technology and Design,92.9,2012-13
0646511,Hartford School District,I,Sports and Medical Sciences Academy,93.2,2012-13
0646711,Hartford School District,I,University High School of Science and Engineering,,2012-13
,Hartford School District,,University High of Science and Engineering,96.8,2012-13
2610113,Jumoke Academy District,,Jumoke Academy,,2012-13
0696111,Killingly School District,G,Killingly High School,76.6,2012-13
2456014,Learn,,Connecticut River Academy,89.7,2012-13
2456114,Learn,,Marine Science Magnet High School of Southeastern Connecticut,,2012-13
2456214,Learn,,Three Rivers Middle College Magnet School,,2012-13
0716211,Lebanon School District,E,Lyman Memorial High School,93.2,2012-13
0726111,Ledyard School District,D,Ledyard High School,92.4,2012-13
0736011,Lisbon School District,E,Community Connection - The Big Picture High School,,2012-13
0746111,Litchfield School District,E,Litchfield High School,,2012-13
0766111,Madison School District,B,Daniel Hand High School,,2012-13
0776111,Manchester School District,G,Manchester High School,78.7,2012-13
0806111,Meriden School District,H,Francis T. Maloney High School,73.9,2012-13
0806211,Meriden School District,H,Orville H. Platt High School,69.3,2012-13
0836211,Middletown School District,G,Middletown High School,83.4,2012-13
0846211,Milford School District,D,Jonathan Law High School,80.5,2012-13
0846311,Milford School District,D,Joseph A. Foran High School,90.5,2012-13
0856111,Monroe School District,B,Masuk High School,97.7,2012-13
0866111,Montville School District,F,Montville High School,88.1,2012-13
0886111,Naugatuck School District,G,Naugatuck High School,78.4,2012-13
0896111,New Britain School District,I,New Britain High School,63.7,2012-13
0906111,New Canaan School District,A,New Canaan High School,97.6,2012-13
0916111,New Fairfield School District,B,New Fairfield High School,96.1,2012-13
0936411,New Haven School District,I,Cooperative High School,89.6,2012-13
0931711,New Haven School District,I,Engineering - Science University Magnet School,,2012-13
0936611,New Haven School District,I,High School In The Community,56.9,2012-13
0936311,New Haven School District,I,Hill Regional Career High School,92.2,2012-13
,New Haven School District,,"Hyde School of Health, Science and Sports Medicine",77.8,2012-13
0936211,New Haven School District,I,James Hillhouse High School,57.7,2012-13
0936011,New Haven School District,I,Metropolitan Business Academy,81.1,2012-13
0937011,New Haven School District,I,New Haven Academy,66.7,2012-13
0936711,New Haven School District,I,Sound School,92.5,2012-13
0936111,New Haven School District,I,Wilbur Cross High School,64.3,2012-13
0956111,New London School District,I,New London High School,64.8,2012-13
0951311,New London School District,I,Science and Technology Magnet School of Southeastern Connecticut,,2012-13
0966111,New Milford School District,D,New Milford High School,89.2,2012-13
0946111,Newington School District,D,Newington High School,90.6,2012-13
0976111,Newtown School District,B,Newtown High School,94.4,2012-13
0996111,North Branford School District,E,North Branford High School,95.9,2012-13
