school_code,district,drg,school,grad_rate,year
1016111,North Haven School District,D,North Haven High School,88.3,2012-13
1026111,North Stonington School District,E,Wheeler High School,,2012-13
1036211,Norwalk School District,H,Brien McMahon High School,88.8,2012-13
1036111,Norwalk School District,H,Norwalk High School,89.4,2012-13
1036311,Norwalk School District,H,Norwalk Pathways Academy at Briggs,15.8,2012-13
9016122,Norwich Free Academy District,G,Norwich Free Academy,85.5,2012-13
1046111,Norwich School District,H,Thames River Academy,,2012-13
1066111,Old Saybrook School District,D,Old Saybrook Senior High School,94.9,2012-13
1086011,Oxford School District,C,Oxford High School,,2012-13
2930113,Path Academy District,,Path Academy,,2012-13
1096111,Plainfield School District,G,Plainfield High School,84.7,2012-13
1106111,Plainville School District,F,Plainville High School,90.1,2012-13
1116111,Plymouth School District,F,Terryville High School,87.8,2012-13
1136111,Portland School District,E,Portland High School,87.0,2012-13
1166111,Putnam School District,G,Putnam High School,80.4,2012-13
2016112,Regional School District 01,E,Housatonic Valley Regional High School,90.7,2012-13
2046112,Regional School District 04,C,Valley Regional High School,95.7,2012-13
2056112,Regional School District 05,B,Amity Regional High School,96.4,2012-13
2066112,Regional School District 06,E,Wamogo Regional High School,,2012-13
2076112,Regional School District 07,C,Northwestern Regional High School,97.1,2012-13
2086112,Regional School District 08,C,RHAM High School,,2012-13
2086212,Regional School District 08,C,Region Alternative High School,,2012-13
2096112,Regional School District 09,A,Joel Barlow High School,95.7,2012-13
2106112,Regional School District 10,C,Lewis S. Mills High School,92.4,2012-13
2116112,Regional School District 11,F,Parish Hill High School,,2012-13
2126112,Regional School District 12,C,Shepaug Valley High School,,2012-13
2120312,Regional School District 12,C,Shepaug Valley School,,2012-13
2136112,Regional School District 13,C,Coginchaug Regional High School,,2012-13
2146112,Regional School District 14,C,Nonnewaug High School,93.9,2012-13
2156212,Regional School District 15,B,Pomperaug Regional High School,94.9,2012-13
2166012,Regional School District 16,E,Woodland Regional High School,90.2,2012-13
2176112,Regional School District 17,C,Haddam-Killingworth High School,96.9,2012-13
2186112,Regional School District 18,C,Lyme-Old Lyme High School,95.6,2012-13
2196112,Regional School District 19,C,E. O. Smith High School,87.6,2012-13
1186111,Ridgefield School District,A,Ridgefield High School,97.3,2012-13
1196111,Rocky Hill School District,D,Rocky Hill High School,89.8,2012-13
1246111,Seymour School District,F,Seymour High School,87.0,2012-13
1266111,Shelton School District,D,Shelton High School,91.0,2012-13
1286111,Simsbury School District,B,Simsbury High School,98.0,2012-13
1296111,Somers School District,C,Somers High School,96.6,2012-13
1326211,South Windsor School District,B,South Windsor High School,95.5,2012-13
1316211,Southington School District,D,Southington High School,91.2,2012-13
1346111,Stafford School District,F,Stafford High School,87.4,2012-13
2826013,Stamford Academy District,,Stamford Academy,27.0,2012-13
1356111,Stamford School District,H,Stamford High School,89.0,2012-13
1356411,Stamford School District,H,The Academy of Information Technology,99.4,2012-13
1356311,Stamford School District,H,Westhill High School,85.9,2012-13
1376111,Stonington School District,D,Stonington High School,95.9,2012-13
1386211,Stratford School District,G,Bunnell High School,94.1,2012-13
1386111,Stratford School District,G,Stratford High School,90.9,2012-13
1396111,Suffield School District,C,Suffield High School,93.6,2012-13
2696113,The Bridge Academy District,,The Bridge Academy,88.6,2012-13
9026122,The Gilbert School District,G,The Gilbert School,82.1,2012-13
1406211,Thomaston School District,E,Thomaston High School,93.6,2012-13
1416111,Thompson School District,F,Tourtellotte Memorial High School,90.6,2012-13
1426111,Tolland School District,C,Tolland High School,94.2,2012-13
1436111,Torrington School District,G,Torrington High School,86.6,2012-13
1446111,Trumbull School District,B,Trumbull High School,98.4,2012-13
1466111,Vernon School District,G,Rockville High School,83.0,2012-13
1486111,Wallingford School District,D,Lyman Hall High School,91.6,2012-13
1486211,Wallingford School District,D,Mark T. Sheehan High School,93.6,2012-13
1516211,Waterbury School District,I,Crosby High School,65.2,2012-13
1516411,Waterbury School District,I,John F. Kennedy High School,69.4,2012-13
1516011,Waterbury School District,I,Waterbury Arts Magnet School (High),86.8,2012-13
1516311,Waterbury School District,I,Wilby High School,72.2,2012-13
1526111,Waterford School District,D,Waterford High School,93.3,2012-13
1536111,Watertown School District,D,Watertown High School,87.1,2012-13
1556111,West Hartford School District,B,Conard High School,94.8,2012-13
1556211,West Hartford School District,B,Hall High School,95.1,2012-13
1557311,West Hartford School District,B,REACH,,2012-13
1566111,West Haven School District,H,West Haven High School,70.8,2012-13
1546111,Westbrook School District,E,Westbrook High School,,2012-13
1576111,Weston School District,A,Weston High School,,2012-13
1586111,Westport School District,A,Staples High School,,2012-13
1596111,Wethersfield School District,D,Wethersfield High School,91.7,2012-13
1616111,Wilton School District,A,Wilton High School,97.8,2012-13
1636111,Windham School District,I,Windham High School,76.2,2012-13
1656111,Windsor Locks School District,F,Windsor Locks High School,93.4,2012-13
1646111,Windsor School District,D,Windsor High School,81.9,2012-13
1666111,Wolcott School District,F,Wolcott High School,94.1,2012-13
9036122,Woodstock Academy District,E,Woodstock Academy,96.4,2012-13
2880113,Achievement First Hartford Academy Inc. District,,Achievement First Hartford Academy Inc.,,2013-14
2795113,Amistad Academy District,,Amistad Academy,82.6,2013-14
0026111,Ansonia School District,H,Ansonia High School,80.0,2013-14
0046111,Avon School District,B,Avon High School,,2013-14
0076111,Berlin School District,D,Berlin High School,95.3,2013-14
0096111,Bethel School District,D,Bethel High School,92.6,2013-14
0116111,Bloomfield School District,G,Bloomfield High School,90.2,2013-14
0116311,Bloomfield School District,G,Global Experience Magnet School,,2013-14
0116411,Bloomfield School District,G,Learning Academy at Bloomfield,,2013-14
0116211,Bloomfield School District,G,The Big Picture High School,,2013-14
0126111,Bolton School District,C,Bolton High School,95.0,2013-14
0146111,Branford School District,D,Branford High School,92.8,2013-14
2850113,Bridgeport Achievement First District,,Achievement First Bridgeport Academy,,2013-14
0150811,Bridgeport School District,I,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",,2013-14
0156111,Bridgeport School District,I,Bassick High School,62.2,2013-14
0150611,Bridgeport School District,I,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",,2013-14
0156211,Bridgeport School District,I,Central High School,80.6,2013-14
0156311,Bridgeport School District,I,Harding High School,69.8,2013-14
0151511,Bridgeport School District,I,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,,2013-14
0176111,Bristol School District,G,Bristol Central High School,83.0,2013-14
0176211,Bristol School District,G,Bristol Eastern High School,84.3,2013-14
0186111,Brookfield School District,B,Brookfield High School,97.4,2013-14
0236111,Canton School District,C,Canton High School,94.8,2013-14
2970113,Capital Preparatory Harbor School Inc. District,,Capital Preparatory Harbor School Inc.,,2013-14
2415114,Capitol Region Education Council,,Academy of Aerospace and Engineering,84.8,2013-14
2416514,Capitol Region Education Council,,Academy of Science and Innovation,,2013-14
2416314,Capitol Region Education Council,,Great Path Academy at MCC,,2013-14
2416414,Capitol Region Education Council,,Greater Hartford Academy of  the Arts High School - Full Time,84.2,2013-14
,Capitol Region Education Council,,Medical Professions and Teacher Preparation Academy,93.5,2013-14
2416114,Capitol Region Education Council,,Metropolitan Learning Center for Global and International Studies,95.8,2013-14
2415214,Capitol Region Education Council,,Public Safety Academy,84.4,2013-14
2416714,Capitol Region Education Council,,Two Rivers Magnet High School,,2013-14
0256111,Cheshire School District,B,Cheshire High School,98.4,2013-14
0276111,Clinton School District,D,The Morgan School,94.5,2013-14
0286111,Colchester School District,D,Bacon Academy,95.6,2013-14
2686113,Common Ground High School District,,Common Ground High School,,2013-14
9001516,Connecticut Technical High School System,,A. I. Prince Technical High School,95.6,2013-14
9001116,Connecticut Technical High School System,,Bullard-Havens Technical High School,91.9,2013-14
9001916,Connecticut Technical High School System,,E. C. Goodwin Technical High School,95.1,2013-14
9001416,Connecticut Technical High School System,,Eli Whitney Technical High School,91.9,2013-14
9002716,Connecticut Technical High School System,,Ella T. Grasso Southeastern Technical High School,94.5,2013-14
9002516,Connecticut Technical High School System,,Emmett O'Brien Technical High School,96.1,2013-14
9001716,Connecticut Technical High School System,,H. C. Wilcox Technical High School,96.6,2013-14
9001316,Connecticut Technical High School System,,H. H. Ellis Technical High School,96.4,2013-14
9001216,Connecticut Technical High School System,,Henry Abbott Technical High School,95.8,2013-14
9001616,Connecticut Technical High School System,,Howell Cheney Technical High School,99.4,2013-14
9002016,Connecticut Technical High School System,,Norwich Technical High School,97.4,2013-14
9002216,Connecticut Technical High School System,,Oliver Wolcott Technical High School,96.6,2013-14
9002616,Connecticut Technical High School System,,Platt Technical High School,98.1,2013-14
9001816,Connecticut Technical High School System,,Vinal Technical High School,94.3,2013-14
9002316,Connecticut Technical High School System,,W. F. Kaynor Technical High School,98.4,2013-14
9002416,Connecticut Technical High School System,,Windham Technical High School,98.4,2013-14
0326111,Coventry School District,E,Coventry High School,97.7,2013-14
0336111,Cromwell School District,D,Cromwell High School,93.1,2013-14
0346211,Danbury School District,H,Alternative Center For Excellence,,2013-14
0346111,Danbury School District,H,Danbury High School,82.4,2013-14
0356111,Darien School District,A,Darien High School,98.2,2013-14
0376111,Derby School District,H,Derby High School,81.4,2013-14
0406111,East Granby School District,D,East Granby High School,93.8,2013-14
0416111,East Haddam School District,E,Nathan Hale-Ray High School,96.0,2013-14
0426111,East Hampton School District,D,East Hampton High School,97.5,2013-14
0436311,East Hartford School District,H,Connecticut IB Academy,97.8,2013-14
0436211,East Hartford School District,H,East Hartford High School,86.4,2013-14
0436411,East Hartford School District,H,Stevens Alternate High school,41.0,2013-14
0446111,East Haven School District,G,East Haven High School,82.8,2013-14
0456111,East Lyme School District,D,East Lyme High School,97.3,2013-14
0476111,East Windsor School District,F,East Windsor High School,89.7,2013-14
2536014,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Arts at the Capitol Theater Magnet School (ACT),91.2,2013-14
2536114,Eastern Connecticut Regional Educational Service Center (EASTCONN),,Quinebaug Middle College,56.3,2013-14
0486111,Ellington School District,C,Ellington High School,95.9,2013-14
2890113,Elm City College Preparatory School District,,Elm City College Preparatory School,62.5,2013-14
0496111,Enfield School District,F,Enfield High School,82.6,2013-14
0496211,Enfield School District,F,Enrico Fermi High School,90.1,2013-14
2726113,Explorations District,,Explorations,66.7,2013-14
0516011,Fairfield School District,B,Fairfield Ludlowe High School,94.3,2013-14
0516211,Fairfield School District,B,Fairfield Warde High School,94.4,2013-14
0526111,Farmington School District,B,Farmington High School,96.4,2013-14
0546111,Glastonbury School District,B,Glastonbury High School,98.8,2013-14
0566111,Granby School District,B,Granby Memorial High School,97.0,2013-14
0576111,Greenwich School District,B,Greenwich High School,97.0,2013-14
0586211,Griswold School District,F,Griswold High School,85.0,2013-14
0596111,Groton School District,G,Robert E. Fitch High School,85.4,2013-14
0606111,Guilford School District,B,Guilford High School,93.3,2013-14
0626111,Hamden School District,G,Hamden High School,91.9,2013-14
,Hartford School District,,Bulkeley High School Upper School,73.3,2013-14
0643911,Hartford School District,I,Capital Community College Magnet Academy,,2013-14
0646911,Hartford School District,I,Capital Preparatory Magnet School,96.3,2013-14
0646411,Hartford School District,I,Classical Magnet School,95.2,2013-14
,Hartford School District,,Culinary Arts Academy,59.8,2013-14
0643611,Hartford School District,I,Global Communications Academy,,2013-14
,Hartford School District,,Great Path Academy High School at MCC,92.3,2013-14
0647911,Hartford School District,I,Great Path Academy at MCC,,2013-14
,Hartford School District,,HPHS Academy of Engineering and Green Technology,61.6,2013-14
,Hartford School District,,HPHS Academy of Nursing and Health Science,66.4,2013-14
0647411,Hartford School District,I,HPHS Law and Government Academy,71.9,2013-14
0645411,Hartford School District,I,Hartford Magnet Trinity College Academy,,2013-14
,Hartford School District,,High School Inc.,63.2,2013-14
0647611,Hartford School District,I,"High School, Inc.",,2013-14
0647711,Hartford School District,I,Journalism and Media Academy Magnet School,75.3,2013-14
0641111,Hartford School District,I,Kinsella Magnet School of Performing Arts,,2013-14
0647811,Hartford School District,I,OPPortunity High School,33.3,2013-14
0646611,Hartford School District,I,Pathways Academy of Technology and Design,90.3,2013-14
0646511,Hartford School District,I,Sports and Medical Sciences Academy,91.3,2013-14
0646711,Hartford School District,I,University High School of Science and Engineering,,2013-14
,Hartford School District,,University High of Science and Engineering,92.5,2013-14
2610113,Jumoke Academy District,,Jumoke Academy,,2013-14
0696111,Killingly School District,G,Killingly High School,83.8,2013-14
2456014,Learn,,Connecticut River Academy,92.8,2013-14
2456114,Learn,,Marine Science Magnet High School of Southeastern Connecticut,91.7,2013-14
2456214,Learn,,Three Rivers Middle College Magnet School,90.6,2013-14
0716211,Lebanon School District,E,Lyman Memorial High School,94.2,2013-14
0726111,Ledyard School District,D,Ledyard High School,94.5,2013-14
0736011,Lisbon School District,E,Community Connection - The Big Picture High School,,2013-14
0746111,Litchfield School District,E,Litchfield High School,95.5,2013-14
0766111,Madison School District,B,Daniel Hand High School,97.5,2013-14
0776111,Manchester School District,G,Manchester High School,87.2,2013-14
0806111,Meriden School District,H,Francis T. Maloney High School,73.5,2013-14
0806211,Meriden School District,H,Orville H. Platt High School,80.5,2013-14
0836211,Middletown School District,G,Middletown High School,89.5,2013-14
0846211,Milford School District,D,Jonathan Law High School,89.3,2013-14
0846311,Milford School District,D,Joseph A. Foran High School,96.3,2013-14
0856111,Monroe School District,B,Masuk High School,98.0,2013-14
0866111,Montville School District,F,Montville High School,89.1,2013-14
0886111,Naugatuck School District,G,Naugatuck High School,81.9,2013-14
0896111,New Britain School District,I,New Britain High School,65.5,2013-14
0906111,New Canaan School District,A,New Canaan High School,,2013-14
0916111,New Fairfield School District,B,New Fairfield High School,98.3,2013-14
0936411,New Haven School District,I,Cooperative High School,93.9,2013-14
0931711,New Haven School District,I,Engineering - Science University Magnet School,,2013-14
0936611,New Haven School District,I,High School In The Community,47.5,2013-14
0936311,New Haven School District,I,Hill Regional Career High School,87.9,2013-14
,New Haven School District,,"Hyde School of Health, Science and Sports Medicine",89.2,2013-14
0936211,New Haven School District,I,James Hillhouse High School,69.4,2013-14
0936011,New Haven School District,I,Metropolitan Business Academy,90.2,2013-14
0937011,New Haven School District,I,New Haven Academy,84.6,2013-14
0936711,New Haven School District,I,Sound School,92.9,2013-14
0936111,New Haven School District,I,Wilbur Cross High School,65.1,2013-14
0956111,New London School District,I,New London High School,72.6,2013-14
0951311,New London School District,I,Science and Technology Magnet School of Southeastern Connecticut,,2013-14
0966111,New Milford School District,D,New Milford High School,91.0,2013-14
0946111,Newington School District,D,Newington High School,93.1,2013-14
0976111,Newtown School District,B,Newtown High School,96.9,2013-14
0996111,North Branford School District,E,North Branford High School,92.5,2013-14
1016111,North Haven School District,D,North Haven High School,91.6,2013-14
1026111,North Stonington School District,E,Wheeler High School,,2013-14
1036211,Norwalk School District,H,Brien McMahon High School,,2013-14
1036111,Norwalk School District,H,Norwalk High School,91.7,2013-14
1036311,Norwalk School District,H,Norwalk Pathways Academy at Briggs,,2013-14
9016122,Norwich Free Academy District,G,Norwich Free Academy,87.7,2013-14
1046111,Norwich School District,H,Thames River Academy,,2013-14
1066111,Old Saybrook School District,D,Old Saybrook Senior High School,94.0,2013-14
1086011,Oxford School District,C,Oxford High School,97.1,2013-14
2930113,Path Academy District,,Path Academy,,2013-14
1096111,Plainfield School District,G,Plainfield High School,84.8,2013-14
1106111,Plainville School District,F,Plainville High School,91.2,2013-14
1116111,Plymouth School District,F,Terryville High School,92.1,2013-14
1136111,Portland School District,E,Portland High School,92.9,2013-14
1166111,Putnam School District,G,Putnam High School,86.2,2013-14
2016112,Regional School District 01,E,Housatonic Valley Regional High School,89.2,2013-14
2046112,Regional School District 04,C,Valley Regional High School,97.8,2013-14
2056112,Regional School District 05,B,Amity Regional High School,97.3,2013-14
2066112,Regional School District 06,E,Wamogo Regional High School,93.5,2013-14
2076112,Regional School District 07,C,Northwestern Regional High School,,2013-14
2086112,Regional School District 08,C,RHAM High School,94.1,2013-14
2086212,Regional School District 08,C,Region Alternative High School,,2013-14
2096112,Regional School District 09,A,Joel Barlow High School,96.8,2013-14
2106112,Regional School District 10,C,Lewis S. Mills High School,94.8,2013-14
2116112,Regional School District 11,F,Parish Hill High School,92.3,2013-14
2126112,Regional School District 12,C,Shepaug Valley High School,,2013-14
2120312,Regional School District 12,C,Shepaug Valley School,,2013-14
2136112,Regional School District 13,C,Coginchaug Regional High School,96.2,2013-14
2146112,Regional School District 14,C,Nonnewaug High School,97.6,2013-14
2156212,Regional School District 15,B,Pomperaug Regional High School,96.9,2013-14
2166012,Regional School District 16,E,Woodland Regional High School,94.9,2013-14
2176112,Regional School District 17,C,Haddam-Killingworth High School,,2013-14
2186112,Regional School District 18,C,Lyme-Old Lyme High School,97.2,2013-14
2196112,Regional School District 19,C,E. O. Smith High School,95.4,2013-14
1186111,Ridgefield School District,A,Ridgefield High School,97.8,2013-14
1196111,Rocky Hill School District,D,Rocky Hill High School,92.3,2013-14
1246111,Seymour School District,F,Seymour High School,88.2,2013-14
1266111,Shelton School District,D,Shelton High School,92.1,2013-14
1286111,Simsbury School District,B,Simsbury High School,96.9,2013-14
1296111,Somers School District,C,Somers High School,,2013-14
1326211,South Windsor School District,B,South Windsor High School,97.0,2013-14
1316211,Southington School District,D,Southington High School,94.3,2013-14
1346111,Stafford School District,F,Stafford High School,95.0,2013-14
2826013,Stamford Academy District,,Stamford Academy,24.6,2013-14
1356111,Stamford School District,H,Stamford High School,91.1,2013-14
1356411,Stamford School District,H,The Academy of Information Technology,98.8,2013-14
1356311,Stamford School District,H,Westhill High School,88.2,2013-14
1376111,Stonington School District,D,Stonington High School,94.8,2013-14
1386211,Stratford School District,G,Bunnell High School,97.9,2013-14
1386111,Stratford School District,G,Stratford High School,93.0,2013-14
1396111,Suffield School District,C,Suffield High School,95.3,2013-14
2696113,The Bridge Academy District,,The Bridge Academy,88.2,2013-14
9026122,The Gilbert School District,G,The Gilbert School,91.6,2013-14
1406211,Thomaston School District,E,Thomaston High School,,2013-14
1416111,Thompson School District,F,Tourtellotte Memorial High School,91.7,2013-14
1426111,Tolland School District,C,Tolland High School,92.0,2013-14
1436111,Torrington School District,G,Torrington High School,87.5,2013-14
1446111,Trumbull School District,B,Trumbull High School,97.3,2013-14
1466111,Vernon School District,G,Rockville High School,83.6,2013-14
1486111,Wallingford School District,D,Lyman Hall High School,90.9,2013-14
1486211,Wallingford School District,D,Mark T. Sheehan High School,96.0,2013-14
1516211,Waterbury School District,I,Crosby High School,72.0,2013-14
1516411,Waterbury School District,I,John F. Kennedy High School,67.7,2013-14
1516011,Waterbury School District,I,Waterbury Arts Magnet School (High),96.7,2013-14
1516311,Waterbury School District,I,Wilby High School,65.8,2013-14
1526111,Waterford School District,D,Waterford High School,94.9,2013-14
1536111,Watertown School District,D,Watertown High School,91.7,2013-14
1556111,West Hartford School District,B,Conard High School,96.2,2013-14
1556211,West Hartford School District,B,Hall High School,97.6,2013-14
1557311,West Hartford School District,B,REACH,,2013-14
1566111,West Haven School District,H,West Haven High School,76.3,2013-14
1546111,Westbrook School District,E,Westbrook High School,,2013-14
1576111,Weston School District,A,Weston High School,98.9,2013-14
1586111,Westport School District,A,Staples High School,98.7,2013-14
1596111,Wethersfield School District,D,Wethersfield High School,92.5,2013-14
1616111,Wilton School District,A,Wilton High School,,2013-14
1636111,Windham School District,I,Windham High School,74.0,2013-14
1656111,Windsor Locks School District,F,Windsor Locks High School,97.7,2013-14
1646111,Windsor School District,D,Windsor High School,90.8,2013-14
1666111,Wolcott School District,F,Wolcott High School,95.9,2013-14
9036122,Woodstock Academy District,E,Woodstock Academy,96.7,2013-14
2880113,Achievement First Hartford Academy Inc. District,,Achievement First Hartford Academy Inc.,,2014-15
2795113,Amistad Academy District,,Amistad Academy,82.8,2014-15
0026111,Ansonia School District,H,Ansonia High School,88.9,2014-15
0046111,Avon School District,B,Avon High School,96.3,2014-15
0076111,Berlin School District,D,Berlin High School,94.3,2014-15
0096111,Bethel School District,D,Bethel High School,95.8,2014-15
0116111,Bloomfield School District,G,Bloomfield High School,87.1,2014-15
0116311,Bloomfield School District,G,Global Experience Magnet School,100.0,2014-15
0116411,Bloomfield School District,G,Learning Academy at Bloomfield,,2014-15
0116211,Bloomfield School District,G,The Big Picture High School,,2014-15
0126111,Bolton School District,C,Bolton High School,,2014-15
0146111,Branford School District,D,Branford High School,91.9,2014-15
2850113,Bridgeport Achievement First District,,Achievement First Bridgeport Academy,93.5,2014-15
0150811,Bridgeport School District,I,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",,2014-15
0156111,Bridgeport School District,I,Bassick High School,59.6,2014-15
0150611,Bridgeport School District,I,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",,2014-15
0156211,Bridgeport School District,I,Central High School,76.8,2014-15
0156311,Bridgeport School District,I,Harding High School,54.1,2014-15
0151511,Bridgeport School District,I,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,,2014-15
0176111,Bristol School District,G,Bristol Central High School,81.8,2014-15
0176211,Bristol School District,G,Bristol Eastern High School,86.7,2014-15
0186111,Brookfield School District,B,Brookfield High School,96.5,2014-15
0236111,Canton School District,C,Canton High School,96.9,2014-15
2970113,Capital Preparatory Harbor School Inc. District,,Capital Preparatory Harbor School Inc.,,2014-15
2415114,Capitol Region Education Council,,Academy of Aerospace and Engineering,82.0,2014-15
2416514,Capitol Region Education Council,,Academy of Science and Innovation,97.5,2014-15
2416314,Capitol Region Education Council,,Great Path Academy at MCC,,2014-15
2416414,Capitol Region Education Council,,Greater Hartford Academy of  the Arts High School - Full Time,91.0,2014-15
,Capitol Region Education Council,,Medical Professions and Teacher Preparation Academy,,2014-15
2416114,Capitol Region Education Council,,Metropolitan Learning Center for Global and International Studies,96.3,2014-15
2415214,Capitol Region Education Council,,Public Safety Academy,88.9,2014-15
2416714,Capitol Region Education Council,,Two Rivers Magnet High School,,2014-15
0256111,Cheshire School District,B,Cheshire High School,,2014-15
0276111,Clinton School District,D,The Morgan School,90.6,2014-15
0286111,Colchester School District,D,Bacon Academy,95.4,2014-15
2686113,Common Ground High School District,,Common Ground High School,100.0,2014-15
9001516,Connecticut Technical High School System,,A. I. Prince Technical High School,97.4,2014-15
9001116,Connecticut Technical High School System,,Bullard-Havens Technical High School,95.9,2014-15
9001916,Connecticut Technical High School System,,E. C. Goodwin Technical High School,97.0,2014-15
9001416,Connecticut Technical High School System,,Eli Whitney Technical High School,90.1,2014-15
9002716,Connecticut Technical High School System,,Ella T. Grasso Southeastern Technical High School,95.3,2014-15
9002516,Connecticut Technical High School System,,Emmett O'Brien Technical High School,100.0,2014-15
9001716,Connecticut Technical High School System,,H. C. Wilcox Technical High School,99.4,2014-15
9001316,Connecticut Technical High School System,,H. H. Ellis Technical High School,96.5,2014-15
9001216,Connecticut Technical High School System,,Henry Abbott Technical High School,99.3,2014-15
9001616,Connecticut Technical High School System,,Howell Cheney Technical High School,95.5,2014-15
9002016,Connecticut Technical High School System,,Norwich Technical High School,98.8,2014-15
9002216,Connecticut Technical High School System,,Oliver Wolcott Technical High School,98.1,2014-15
9002616,Connecticut Technical High School System,,Platt Technical High School,100.0,2014-15
9001816,Connecticut Technical High School System,,Vinal Technical High School,98.0,2014-15
9002316,Connecticut Technical High School System,,W. F. Kaynor Technical High School,97.7,2014-15
9002416,Connecticut Technical High School System,,Windham Technical High School,97.1,2014-15
0326111,Coventry School District,E,Coventry High School,,2014-15
0336111,Cromwell School District,D,Cromwell High School,,2014-15
0346211,Danbury School District,H,Alternative Center For Excellence,,2014-15
0346111,Danbury School District,H,Danbury High School,79.5,2014-15
0356111,Darien School District,A,Darien High School,97.3,2014-15
0376111,Derby School District,H,Derby High School,83.2,2014-15
0406111,East Granby School District,D,East Granby High School,100.0,2014-15
0416111,East Haddam School District,E,Nathan Hale-Ray High School,93.5,2014-15
0426111,East Hampton School District,D,East Hampton High School,96.7,2014-15
0436311,East Hartford School District,H,Connecticut IB Academy,100.0,2014-15
0436211,East Hartford School District,H,East Hartford High School,94.6,2014-15
0436411,East Hartford School District,H,Stevens Alternate High school,,2014-15
0446111,East Haven School District,G,East Haven High School,78.5,2014-15
0456111,East Lyme School District,D,East Lyme High School,97.7,2014-15
0476111,East Windsor School District,F,East Windsor High School,88.5,2014-15
