"school_code","year","start_time","end_time"
"0010111","201314","08:30 AM","03:00 PM"
"0010111","201415","08:30 AM","03:00 PM"
"0010111","201516","08:30 AM","03:00 PM"
"0020311","201314","07:40 AM","02:15 PM"
"0020311","201415","07:40 AM","02:15 PM"
"0020311","201516","07:40 AM","02:15 PM"
"0020811","201314","08:45 AM","03:20 PM"
"0020811","201415","08:45 AM","03:20 PM"
"0020811","201516","08:45 AM","03:20 PM"
"0025111","201314","08:15 AM","02:50 PM"
"0025111","201415","08:15 AM","02:50 PM"
"0025111","201516","08:15 AM","02:50 PM"
"0026111","201314","07:15 AM","01:50 PM"
"0026111","201415","07:15 AM","01:50 PM"
"0026111","201516","07:15 AM","01:50 PM"
"0030111","201314","08:30 AM","03:10 PM"
"0030111","201415","08:30 AM","03:10 PM"
"0030111","201516","08:30 AM","03:10 PM"
"0040311","201314","08:50 AM","03:25 PM"
"0040311","201415","08:50 AM","03:25 PM"
"0040311","201516","08:50 AM","03:25 PM"
"0040411","201314","08:50 AM","03:25 PM"
"0040411","201415","08:50 AM","03:25 PM"
"0040411","201516","08:50 AM","03:25 PM"
"0040511","201314","08:20 AM","02:55 PM"
"0040511","201415","08:20 AM","02:55 PM"
"0040511","201516","08:20 AM","02:55 PM"
"0045111","201314","07:40 AM","02:15 PM"
"0045111","201415","07:40 AM","02:15 PM"
"0045111","201516","07:40 AM","02:15 PM"
"0046111","201314","07:40 AM","02:15 PM"
"0046111","201415","07:40 AM","02:15 PM"
"0046111","201516","07:40 AM","02:15 PM"
"0050111","201314","08:30 AM","03:20 PM"
"0050111","201415","08:30 AM","03:20 PM"
"0050111","201516","08:30 AM","03:20 PM"
"0070111","201314","08:40 AM","03:25 PM"
"0070111","201415","08:40 AM","03:25 PM"
"0070111","201516","08:40 AM","03:25 PM"
"0070411","201314","08:00 AM","02:45 PM"
"0070411","201415","08:40 AM","03:25 PM"
"0070411","201516","08:40 AM","03:25 PM"
"0070511","201314","08:40 AM","03:25 PM"
"0070511","201415","08:40 AM","03:25 PM"
"0070511","201516","08:40 AM","03:25 PM"
"0075111","201314","07:35 AM","02:20 PM"
"0075111","201415","07:35 AM","02:20 PM"
"0075111","201516","07:35 AM","02:20 PM"
"0076111","201314","07:25 AM","02:10 PM"
"0076111","201415","07:25 AM","02:10 PM"
"0076111","201516","07:25 AM","02:10 PM"
"0080111","201314","08:40 AM","03:10 PM"
"0080111","201415","08:40 AM","03:10 PM"
"0080111","201516","08:40 AM","03:10 PM"
"0090111","201314","09:00 AM","03:30 PM"
"0090111","201415","09:00 AM","03:30 PM"
"0090111","201516","09:00 AM","03:30 PM"
"0090411","201314","09:00 AM","03:30 PM"
"0090411","201415","09:00 AM","03:30 PM"
"0090411","201516","09:00 AM","03:30 PM"
"0090511","201314","08:15 AM","02:45 PM"
"0090511","201415","08:15 AM","02:45 PM"
"0090511","201516","08:15 AM","02:45 PM"
"0095111","201314","08:15 AM","02:45 PM"
"0095111","201415","08:15 AM","02:45 PM"
"0095111","201516","08:15 AM","02:45 PM"
"0096111","201314","07:35 AM","02:15 PM"
"0096111","201415","07:35 AM","02:15 PM"
"0096111","201516","07:35 AM","02:15 PM"
"0110511","201314","08:50 AM","03:30 PM"
"0110511","201415","08:50 AM","03:30 PM"
"0110511","201516","08:50 AM","03:30 PM"
"0110611","201314","09:00 AM","03:45 PM"
"0110611","201415","09:00 AM","03:45 PM"
"0110611","201516","09:00 AM","03:45 PM"
"0110711","201314","08:05 AM","02:45 PM"
"0110711","201415","08:05 AM","02:45 PM"
"0110711","201516","08:05 AM","02:45 PM"
"0110811","201314","08:50 AM","03:20 PM"
"0110811","201415","08:50 AM","03:30 PM"
"0110811","201516","08:50 AM","03:35 PM"
"0115211","201314","08:05 AM","02:45 PM"
"0115211","201415","08:05 AM","02:45 PM"
"0115211","201516","08:05 AM","02:45 PM"
"0116111","201314","07:35 AM","02:15 PM"
"0116111","201415","07:35 AM","02:15 PM"
"0116111","201516","07:35 AM","02:15 PM"
"0116311","201314","08:00 AM","02:51 PM"
"0116311","201415","08:05 AM","02:48 PM"
"0116311","201516","08:00 AM","02:50 PM"
"0116411","201314","08:00 AM","03:15 PM"
"0116411","201415","07:35 AM","02:15 PM"
"0116411","201516","07:35 AM","02:15 PM"
"0120111","201314","07:30 AM","02:25 PM"
"0120111","201415","07:30 AM","02:25 PM"
"0120111","201516","07:30 AM","02:25 PM"
"0126111","201314","07:32 AM","02:16 PM"
"0126111","201415","07:32 AM","02:16 PM"
"0126111","201516","07:32 AM","02:16 PM"
"0130111","201314","08:25 AM","03:05 PM"
"0130111","201415","08:25 AM","03:05 PM"
"0130111","201516","08:25 AM","03:05 PM"
"0141411","201314","08:55 AM","03:25 PM"
"0141411","201415","08:55 AM","03:25 PM"
"0141411","201516","08:25 AM","03:25 PM"
"0141511","201314","08:55 AM","03:25 PM"
"0141511","201415","08:55 AM","03:25 PM"
"0141511","201516","08:55 AM","03:25 PM"
"0141611","201314","08:55 AM","03:25 PM"
"0141611","201415","08:55 AM","03:25 PM"
"0141611","201516","08:55 AM","03:25 PM"
"0145111","201314","08:10 AM","02:50 PM"
"0145111","201415","08:05 AM","02:50 PM"
"0145111","201516","08:05 AM","02:50 PM"
"0146111","201314","07:30 AM","02:25 PM"
"0146111","201415","07:30 AM","02:25 PM"
"0146111","201516","07:30 AM","02:25 PM"
"0150111","201314","08:50 AM","03:10 PM"
"0150111","201415","08:30 AM","02:50 PM"
"0150111","201516","08:50 AM","02:10 PM"
"0150211","201314","08:50 AM","03:10 PM"
"0150211","201415","08:30 AM","02:50 PM"
"0150211","201516","08:50 AM","03:10 PM"
"0150311","201314","08:50 AM","03:10 PM"
"0150311","201415","08:40 AM","03:00 PM"
"0150311","201516","08:50 AM","02:10 PM"
"0150411","201314","08:50 AM","03:10 PM"
"0150411","201415","08:40 AM","03:00 PM"
"0150411","201516","08:50 AM","03:10 PM"
"0150511","201314","08:50 AM","03:10 PM"
"0150511","201415","08:30 AM","03:00 PM"
"0150511","201516","08:50 AM","03:10 PM"
"0150611","201314","07:55 AM","02:10 PM"
"0150611","201415","07:55 AM","02:10 PM"
"0150611","201516","07:55 AM","02:10 PM"
"0150711","201314","08:50 AM","03:10 PM"
"0150711","201415","08:40 AM","03:00 PM"
"0150711","201516","08:50 AM","03:10 PM"
"0150811","201314","07:55 AM","02:10 PM"
"0150811","201415","07:55 AM","02:10 PM"
"0150811","201516","07:55 AM","02:10 PM"
"0151011","201314","08:50 AM","03:10 PM"
"0151011","201415","08:40 AM","03:00 PM"
"0151011","201516","08:50 AM","03:10 PM"
"0151111","201314","08:50 AM","03:10 PM"
"0151111","201415","08:40 AM","03:00 PM"
"0151111","201516","08:50 AM","03:10 PM"
"0151211","201314","08:50 AM","03:10 PM"
"0151211","201415","08:40 AM","03:00 PM"
"0151211","201516","08:50 AM","03:10 PM"
"0151311","201314","08:50 AM","03:05 PM"
"0151311","201415","08:40 AM","03:00 PM"
"0151311","201516","08:50 AM","03:10 PM"
"0151411","201314","08:50 AM","03:10 PM"
"0151411","201415","08:40 AM","03:00 PM"
"0151411","201516","08:50 AM","03:10 PM"
"0151511","201314","07:55 AM","02:10 PM"
"0151511","201415","07:55 AM","02:10 PM"
"0151511","201516","07:55 AM","02:10 PM"
"0151611","201314","07:53 AM","02:10 PM"
"0151611","201415","07:55 AM","02:30 PM"
"0151611","201516","07:53 AM","02:10 PM"
"0151711","201314","08:25 AM","02:55 PM"
"0151711","201415","08:40 AM","03:00 PM"
"0151711","201516","08:25 AM","02:55 PM"
"0152011","201314","08:50 AM","03:10 PM"
"0152011","201415","08:40 AM","03:00 PM"
"0152011","201516","08:50 AM","03:10 PM"
"0152111","201314","08:40 AM","04:40 PM"
"0152111","201415","08:40 AM","04:40 PM"
"0152111","201516","08:40 AM","04:40 PM"
"0152211","201314","08:50 AM","03:10 PM"
"0152211","201415","08:40 AM","03:00 PM"
"0152211","201516","08:50 AM","03:10 PM"
"0152511","201314","08:00 AM","02:20 PM"
"0152511","201415","08:00 AM","02:20 PM"
"0152511","201516","08:30 AM","03:00 PM"
"0152611","201314","08:50 AM","03:10 PM"
"0152611","201415","08:40 AM","03:00 PM"
"0152611","201516","08:50 AM","03:10 PM"
"0153011","201314","08:50 AM","03:10 PM"
"0153011","201415","08:40 AM","03:00 PM"
"0153011","201516","08:50 AM","03:10 PM"
"0153211","201314","08:50 AM","03:10 PM"
"0153211","201415","08:40 AM","03:00 PM"
"0153211","201516","08:50 AM","03:10 PM"
"0153611","201314","08:35 AM","02:55 PM"
"0153611","201415","08:40 AM","03:00 PM"
"0153611","201516","08:50 AM","03:10 PM"
"0153711","201314","08:40 AM","03:00 PM"
"0153711","201415","08:40 AM","03:00 PM"
"0153711","201516","08:40 AM","03:05 PM"
"0153911","201314","08:50 AM","03:10 PM"
"0153911","201415","08:40 AM","03:00 PM"
"0153911","201516","08:50 AM","03:10 PM"
"0154011","201314","08:35 AM","02:55 PM"
"0154011","201415","07:50 AM","02:20 PM"
"0154011","201516","08:50 AM","03:10 PM"
"0154111","201314","08:30 AM","03:30 PM"
"0154111","201415","08:40 AM","03:00 PM"
"0154111","201516","08:30 AM","03:30 PM"
"0154211","201314","08:00 AM","03:05 PM"
"0154211","201415","08:00 AM","03:05 PM"
"0154211","201516","08:45 AM","03:05 PM"
"0154411","201314","",""
"0154411","201415","07:40 AM","02:00 PM"
"0154411","201516","07:40 AM","11:20 AM"
"0154511","201314","08:25 AM","03:00 PM"
"0154511","201415","08:40 AM","03:00 PM"
"0154511","201516","08:25 AM","02:55 PM"
"0154611","201314","08:35 AM","02:55 PM"
"0154611","201415","08:40 AM","03:00 PM"
"0154611","201516","08:35 AM","03:00 PM"
"0156111","201314","07:53 AM","02:30 PM"
"0156111","201415","07:53 AM","02:30 PM"
"0156111","201516","07:53 AM","02:30 PM"
"0156211","201314","07:53 AM","02:30 PM"
"0156211","201415","07:53 AM","02:30 PM"
"0156211","201516","07:53 AM","02:30 PM"
"0156311","201314","07:53 AM","02:30 PM"
"0156311","201415","07:53 AM","02:30 PM"
"0156311","201516","07:53 AM","02:30 PM"
"0170311","201314","09:05 AM","03:25 PM"
"0170311","201415","09:05 AM","03:25 PM"
"0170311","201516","09:05 AM","03:25 PM"
"0170411","201415","",""
"0170411","201516","09:05 AM","03:25 PM"
"0170511","201314","08:15 AM","02:50 PM"
"0170511","201415","09:05 AM","03:25 PM"
"0170511","201516","08:15 AM","02:50 PM"
"0171111","201314","09:05 AM","03:25 PM"
"0171111","201415","09:05 AM","03:25 PM"
"0171111","201516","09:05 AM","03:25 PM"
"0171211","201314","09:05 AM","03:25 PM"
"0171211","201415","09:05 AM","03:25 PM"
"0171211","201516","09:05 AM","03:25 PM"
"0171411","201314","09:05 AM","03:25 PM"
"0171411","201415","09:05 AM","03:25 PM"
"0171411","201516","09:05 AM","03:25 PM"
"0171711","201314","09:05 AM","03:25 PM"
"0171711","201415","09:05 AM","03:25 PM"
"0171711","201516","09:05 AM","03:25 PM"
"0171911","201314","09:05 AM","03:25 PM"
"0171911","201415","09:05 AM","03:25 PM"
"0171911","201516","09:05 AM","03:25 PM"
"0172011","201314","08:15 AM","02:50 PM"
"0172011","201415","08:15 AM","02:50 PM"
"0172011","201516","08:15 AM","02:50 PM"
"0175111","201314","08:15 AM","02:50 PM"
"0175111","201415","08:15 AM","02:50 PM"
"0175111","201516","08:15 AM","02:50 PM"
"0175211","201314","08:15 AM","02:50 PM"
"0175211","201415","08:15 AM","02:50 PM"
"0175211","201516","08:15 AM","02:25 PM"
"0176111","201314","07:35 AM","02:00 PM"
"0176111","201415","07:35 AM","02:00 PM"
"0176111","201516","07:35 AM","02:00 PM"
"0176211","201314","07:35 AM","02:00 PM"
"0176211","201415","07:35 AM","02:00 PM"
"0176211","201516","07:35 AM","02:00 PM"
"0180311","201314","08:40 AM","03:25 PM"
"0180311","201415","08:40 AM","03:25 PM"
"0180311","201516","08:40 AM","03:25 PM"
"0180411","201314","08:40 AM","03:25 PM"
"0180411","201415","08:40 AM","03:25 PM"
"0180411","201516","08:40 AM","03:25 PM"
"0185311","201314","07:55 AM","02:40 PM"
"0185311","201415","07:55 AM","02:40 PM"
"0185311","201516","07:55 AM","02:40 PM"
"0186111","201314","07:15 AM","02:00 PM"
"0186111","201415","07:15 AM","02:00 PM"
"0186111","201516","07:15 AM","02:00 PM"
"0190111","201314","08:45 AM","03:15 PM"
"0190111","201415","08:45 AM","03:15 PM"
"0190111","201516","08:45 AM","03:15 PM"
"0195111","201314","08:00 AM","02:32 PM"
"0195111","201415","08:00 AM","02:30 PM"
"0195111","201516","08:00 AM","02:30 PM"
"0210111","201314","08:45 AM","03:10 PM"
"0210111","201415","08:45 AM","03:10 PM"
"0210111","201516","08:45 AM","03:10 PM"
"0220211","201314","08:30 AM","03:02 PM"
"0220211","201415","08:30 AM","03:02 PM"
"0220211","201516","08:30 AM","03:10 PM"
"0225111","201314","08:20 AM","03:05 PM"
"0225111","201415","08:30 AM","03:00 PM"
"0225111","201516","08:20 AM","03:15 PM"
"0230211","201314","08:35 AM","03:20 PM"
"0230211","201415","08:35 AM","03:20 PM"
"0230211","201516","08:35 AM","03:20 PM"
"0230311","201314","08:05 AM","02:45 PM"
"0230311","201415","08:05 AM","02:45 PM"
"0230311","201516","07:55 AM","02:45 PM"
"0235111","201314","07:34 AM","02:20 PM"
"0235111","201415","07:34 AM","02:20 PM"
"0235111","201516","07:34 AM","02:20 PM"
"0236111","201314","07:35 AM","02:20 PM"
"0236111","201415","07:35 AM","02:20 PM"
"0236111","201516","07:35 AM","02:20 PM"
"0240211","201314","08:40 AM","03:15 PM"
"0240211","201415","08:30 AM","03:15 PM"
"0240211","201516","08:40 AM","03:15 PM"
"0250111","201314","08:05 AM","02:35 PM"
"0250111","201415","08:05 AM","02:35 PM"
"0250111","201516","08:05 AM","02:35 PM"
"0250211","201314","08:55 AM","11:36 AM"
"0250211","201415","08:50 AM","03:20 PM"
"0250211","201516","08:50 AM","03:20 PM"
"0250411","201314","08:50 AM","03:20 PM"
"0250411","201415","08:50 AM","03:20 PM"
"0250411","201516","08:50 AM","03:20 PM"
"0250511","201314","08:50 AM","03:20 PM"
"0250511","201415","08:50 AM","03:20 PM"
"0250511","201516","08:50 AM","03:20 PM"
"0250611","201314","08:05 AM","02:35 PM"
"0250611","201415","09:05 AM","02:35 PM"
"0250611","201516","08:05 AM","02:35 PM"
"0255111","201314","08:08 AM","02:44 PM"
"0255111","201415","08:08 AM","02:45 PM"
"0255111","201516","08:08 AM","02:45 PM"
"0256111","201314","07:30 AM","02:00 PM"
"0256111","201415","07:30 AM","02:00 PM"
"0256111","201516","07:30 AM","02:00 PM"
"0260111","201314","08:25 AM","03:00 PM"
"0260111","201415","08:25 AM","03:00 PM"
"0260111","201516","08:25 AM","03:00 PM"
"0270111","201314","07:56 AM","02:37 PM"
"0270111","201415","07:56 AM","02:37 PM"
"0270111","201516","07:56 AM","02:37 PM"
"0270311","201314","08:46 AM","03:15 PM"
"0270311","201415","08:46 AM","03:15 PM"
"0270311","201516","08:46 AM","03:15 PM"
"0275111","201314","07:50 AM","02:31 PM"
"0275111","201415","07:50 AM","02:31 PM"
"0275111","201516","07:50 AM","02:31 PM"
"0276111","201314","07:35 AM","02:10 PM"
"0276111","201415","07:35 AM","02:10 PM"
"0276111","201516","07:35 AM","02:10 PM"
"0280211","201314","08:35 AM","03:15 PM"
"0280211","201415","08:35 AM","03:15 PM"
"0280211","201516","08:35 AM","03:15 PM"
"0280411","201314","08:35 AM","03:15 PM"
"0280411","201415","08:35 AM","03:15 PM"
"0280411","201516","08:35 AM","03:15 PM"
"0285111","201314","07:20 AM","02:00 PM"
"0285111","201415","07:20 AM","02:00 PM"
"0285111","201516","07:20 AM","02:00 PM"
"0286111","201314","07:35 AM","02:15 PM"
"0286111","201415","07:35 AM","02:15 PM"
"0286111","201516","07:35 AM","02:15 PM"
"0290111","201314","08:30 AM","03:15 PM"
"0290111","201415","08:30 AM","03:15 PM"
"0290111","201516","08:30 AM","03:15 PM"
"0300111","201314","08:15 AM","03:15 PM"
"0300111","201415","08:15 AM","03:10 PM"
"0300111","201516","08:15 AM","03:10 PM"
"0310111","201314","08:25 AM","02:55 PM"
"0310111","201415","08:25 AM","02:55 PM"
"0310111","201516","08:25 AM","02:55 PM"
"0320211","201314","08:30 AM","03:10 PM"
"0320211","201415","08:30 AM","03:10 PM"
"0320211","201516","08:30 AM","03:10 PM"
"0320411","201314","08:30 AM","03:10 PM"
"0320411","201415","08:30 AM","03:10 PM"
"0320411","201516","08:30 AM","03:10 PM"
"0325111","201314","07:40 AM","02:20 PM"
"0325111","201415","07:40 AM","02:20 PM"
"0325111","201516","07:40 AM","02:20 PM"
"0326111","201314","07:40 AM","02:20 PM"
"0326111","201415","07:40 AM","02:20 PM"
"0326111","201516","07:40 AM","02:20 PM"
"0330211","201314","08:40 AM","03:20 PM"
"0330211","201415","08:40 AM","03:20 PM"
"0330211","201516","08:40 AM","03:20 PM"
"0330311","201314","08:40 AM","03:20 PM"
"0330311","201415","08:40 AM","03:20 PM"
"0330311","201516","08:40 AM","03:20 PM"
"0335111","201314","07:45 AM","02:25 PM"
"0335111","201415","07:45 AM","02:25 PM"
"0335111","201516","07:45 AM","02:25 PM"
"0336111","201314","07:45 AM","02:25 PM"
"0336111","201415","07:45 AM","02:25 PM"
"0336111","201516","07:45 AM","02:25 PM"
"0340111","201314","",""
"0340111","201415","",""
"0340111","201516","",""
"0340211","201314","08:25 AM","02:55 PM"
"0340211","201415","08:25 AM","03:00 PM"
"0340211","201516","08:25 AM","03:00 PM"
"0340311","201415","07:40 AM","02:25 PM"
"0340311","201516","07:40 AM","02:25 PM"
"0340511","201314","08:55 AM","03:25 PM"
"0340511","201415","08:25 AM","03:00 PM"
"0340511","201516","08:25 AM","03:00 PM"
"0340611","201314","08:25 AM","02:55 PM"
"0340611","201415","08:25 AM","03:00 PM"
"0340611","201516","08:25 AM","03:00 PM"
"0340811","201314","08:55 AM","03:25 PM"
"0340811","201415","08:55 AM","03:30 PM"
"0340811","201516","08:55 AM","03:30 PM"
"0341011","201314","08:55 AM","03:30 PM"
"0341011","201415","08:55 AM","03:30 PM"
"0341011","201516","08:55 AM","03:30 PM"
"0341111","201314","08:55 AM","03:30 PM"
"0341111","201415","08:55 AM","03:30 PM"
"0341111","201516","08:55 AM","03:30 PM"
"0341211","201314","08:55 AM","03:25 PM"
"0341211","201415","08:25 AM","03:00 PM"
"0341211","201516","08:25 AM","03:00 PM"
"0341311","201314","08:25 AM","03:00 PM"
"0341311","201415","08:25 AM","03:00 PM"
"0341311","201516","08:25 AM","03:00 PM"
"0341411","201314","08:30 AM","03:30 PM"
"0341411","201415","08:55 AM","03:30 PM"
"0341411","201516","08:55 AM","03:30 PM"
"0341511","201314","08:55 AM","03:30 PM"
"0341511","201415","08:55 AM","03:30 PM"
"0341511","201516","08:55 AM","03:30 PM"
"0341611","201314","08:25 AM","03:00 PM"
"0341611","201415","08:25 AM","03:00 PM"
"0341611","201516","08:25 AM","03:00 PM"
"0341711","201314","08:25 AM","03:00 PM"
"0341711","201415","08:25 AM","03:00 PM"
"0341711","201516","08:25 AM","03:00 PM"
"0341911","201314","08:55 AM","03:30 PM"
"0341911","201415","08:55 AM","03:30 PM"
"0341911","201516","08:55 AM","03:30 PM"
"0345111","201314","07:50 AM","02:25 PM"
"0345111","201415","07:40 AM","02:25 PM"
"0345111","201516","07:40 AM","02:25 PM"
"0345211","201314","08:00 AM","02:21 PM"
"0345211","201415","07:40 AM","02:25 PM"
"0345211","201516","07:40 AM","02:25 PM"
"0346111","201314","07:20 AM","02:00 PM"
"0346111","201415","07:20 AM","02:00 PM"
"0346111","201516","07:20 AM","02:00 PM"
"0346211","201314","07:30 AM","01:45 PM"
"0346211","201415","07:30 AM","01:45 PM"
"0346211","201516","07:30 AM","01:45 PM"
"0350211","201314","08:25 AM","02:55 PM"
"0350211","201415","08:25 AM","02:55 PM"
"0350211","201516","08:25 AM","02:55 PM"
"0350511","201314","08:25 AM","02:55 PM"
"0350511","201415","08:25 AM","02:55 PM"
"0350511","201516","08:25 AM","02:55 PM"
"0350611","201314","08:25 AM","02:55 PM"
"0350611","201415","08:25 AM","02:55 PM"
"0350611","201516","08:25 AM","02:55 PM"
"0350711","201314","09:00 AM","03:30 PM"
"0350711","201415","09:00 AM","03:30 PM"
"0350711","201516","09:00 AM","03:30 PM"
"0351311","201314","09:00 AM","03:30 PM"
"0351311","201415","09:00 AM","03:30 PM"
"0351311","201516","09:00 AM","03:30 PM"
"0355111","201314","07:55 AM","02:22 PM"
"0355111","201415","07:55 AM","02:22 PM"
"0355111","201516","07:55 AM","02:22 PM"
"0356111","201314","07:40 AM","02:17 PM"
"0356111","201415","07:40 AM","02:17 PM"
"0356111","201516","07:40 AM","02:20 PM"
"0360111","201314","08:25 AM","03:00 PM"
"0360111","201415","08:25 AM","03:00 PM"
"0360111","201516","08:25 AM","03:00 PM"
"0370111","201516","09:00 AM","03:00 PM"
"0370411","201314","09:00 AM","03:25 PM"
"0370411","201415","09:00 AM","03:25 PM"
