"poverty_quartile","school_code","year"
"Middle","0010111","201314"
"Middle","0010111","201415"
"Middle","0010111","201516"
"High","0020311","201314"
"High","0020311","201415"
"High","0020311","201516"
"High","0020811","201314"
"High","0020811","201415"
"High","0020811","201516"
"High","0025111","201314"
"High","0025111","201415"
"High","0025111","201516"
"Middle","0026111","201314"
"Middle","0026111","201415"
"Middle","0026111","201516"
"Middle","0030111","201314"
"Middle","0030111","201415"
"Middle","0030111","201516"
"Low","0040311","201314"
"Low","0040311","201415"
"Low","0040311","201516"
"Low","0040411","201314"
"Low","0040411","201415"
"Low","0040411","201516"
"Low","0040511","201314"
"Low","0040511","201415"
"Low","0040511","201516"
"Low","0045111","201314"
"Low","0045111","201415"
"Low","0045111","201516"
"Low","0046111","201314"
"Low","0046111","201415"
"Low","0046111","201516"
"Low","0050111","201314"
"Low","0050111","201415"
"Low","0050111","201516"
"Middle","0070111","201314"
"Middle","0070111","201415"
"Middle","0070111","201516"
"Middle","0070411","201314"
"Middle","0070411","201415"
"Middle","0070411","201516"
"Low","0070511","201314"
"Low","0070511","201415"
"Low","0070511","201516"
"Middle","0075111","201314"
"Middle","0075111","201415"
"Low","0075111","201516"
"Middle","0076111","201314"
"Middle","0076111","201415"
"Middle","0076111","201516"
"Low","0080111","201314"
"Low","0080111","201415"
"Low","0080111","201516"
"Low","0090111","201314"
"Low","0090111","201415"
"Low","0090111","201516"
"Middle","0090411","201314"
"Middle","0090411","201415"
"Middle","0090411","201516"
"Middle","0090511","201314"
"Middle","0090511","201415"
"Middle","0090511","201516"
"Middle","0095111","201314"
"Middle","0095111","201415"
"Middle","0095111","201516"
"Middle","0096111","201314"
"Middle","0096111","201415"
"Middle","0096111","201516"
"Middle","0110511","201314"
"Middle","0110511","201415"
"Middle","0110511","201516"
"Middle","0110611","201314"
"Middle","0110611","201415"
"Middle","0110611","201516"
"Middle","0110711","201314"
"Middle","0110711","201415"
"Middle","0110711","201516"
"Middle","0110811","201314"
"Middle","0110811","201415"
"Middle","0110811","201516"
"High","0115211","201314"
"Middle","0115211","201415"
"Middle","0115211","201516"
"Middle","0116111","201314"
"Middle","0116111","201415"
"Middle","0116111","201516"
"Middle","0116311","201314"
"Middle","0116311","201415"
"Middle","0116311","201516"
"Middle","0116411","201314"
"N/A","0116411","201415"
"N/A","0116411","201516"
"Middle","0120111","201314"
"Middle","0120111","201415"
"Middle","0120111","201516"
"Middle","0126111","201314"
"Middle","0126111","201415"
"Middle","0126111","201516"
"Middle","0130111","201314"
"Middle","0130111","201415"
"Middle","0130111","201516"
"Middle","0141411","201314"
"Middle","0141411","201415"
"Middle","0141411","201516"
"Middle","0141511","201314"
"Middle","0141511","201415"
"Low","0141511","201516"
"Middle","0141611","201314"
"Middle","0141611","201415"
"Middle","0141611","201516"
"Middle","0145111","201314"
"Middle","0145111","201415"
"Middle","0145111","201516"
"Middle","0146111","201314"
"Middle","0146111","201415"
"Middle","0146111","201516"
"High","0150111","201314"
"High","0150111","201415"
"High","0150111","201516"
"High","0150211","201314"
"High","0150211","201415"
"High","0150211","201516"
"High","0150311","201314"
"High","0150311","201415"
"High","0150311","201516"
"High","0150411","201314"
"High","0150411","201415"
"High","0150411","201516"
"High","0150511","201314"
"High","0150511","201415"
"High","0150511","201516"
"High","0150611","201314"
"High","0150611","201415"
"High","0150611","201516"
"High","0150711","201314"
"High","0150711","201415"
"High","0150711","201516"
"High","0150811","201314"
"High","0150811","201415"
"High","0150811","201516"
"High","0151011","201314"
"High","0151011","201415"
"High","0151011","201516"
"High","0151111","201314"
"High","0151111","201415"
"High","0151111","201516"
"High","0151211","201314"
"High","0151211","201415"
"High","0151211","201516"
"High","0151311","201314"
"High","0151311","201415"
"High","0151311","201516"
"High","0151411","201314"
"High","0151411","201415"
"High","0151411","201516"
"High","0151511","201314"
"High","0151511","201415"
"High","0151511","201516"
"High","0151611","201314"
"High","0151611","201415"
"High","0151611","201516"
"High","0151711","201314"
"High","0151711","201415"
"High","0151711","201516"
"High","0152011","201314"
"High","0152011","201415"
"High","0152011","201516"
"High","0152111","201314"
"High","0152111","201415"
"High","0152111","201516"
"High","0152211","201314"
"High","0152211","201415"
"High","0152211","201516"
"High","0152511","201314"
"High","0152511","201415"
"High","0152511","201516"
"High","0152611","201314"
"High","0152611","201415"
"High","0152611","201516"
"High","0153011","201314"
"High","0153011","201415"
"High","0153011","201516"
"High","0153211","201314"
"High","0153211","201415"
"High","0153211","201516"
"High","0153611","201314"
"High","0153611","201415"
"High","0153611","201516"
"High","0153711","201314"
"High","0153711","201415"
"High","0153711","201516"
"High","0153911","201314"
"High","0153911","201415"
"High","0153911","201516"
"High","0154011","201314"
"High","0154011","201415"
"High","0154011","201516"
"High","0154111","201314"
"High","0154111","201415"
"High","0154111","201516"
"High","0154211","201314"
"High","0154211","201415"
"High","0154211","201516"
"High","0154411","201314"
"High","0154411","201415"
"High","0154411","201516"
"High","0154511","201314"
"High","0154511","201415"
"High","0154511","201516"
"High","0154611","201314"
"High","0154611","201415"
"High","0154611","201516"
"High","0156111","201314"
"High","0156111","201415"
"High","0156111","201516"
"High","0156211","201314"
"High","0156211","201415"
"High","0156211","201516"
"High","0156311","201314"
"High","0156311","201415"
"High","0156311","201516"
"Middle","0170311","201314"
"Middle","0170311","201415"
"Middle","0170311","201516"
"Middle","0170411","201415"
"Middle","0170411","201516"
"Middle","0170511","201314"
"Middle","0170511","201415"
"Middle","0170511","201516"
"Middle","0171111","201314"
"Middle","0171111","201415"
"Middle","0171111","201516"
"Middle","0171211","201314"
"Middle","0171211","201415"
"Middle","0171211","201516"
"Middle","0171411","201314"
"Middle","0171411","201415"
"Middle","0171411","201516"
"Middle","0171711","201314"
"Middle","0171711","201415"
"Middle","0171711","201516"
"Middle","0171911","201314"
"Middle","0171911","201415"
"Middle","0171911","201516"
"Middle","0172011","201314"
"Middle","0172011","201415"
"Middle","0172011","201516"
"Middle","0175111","201314"
"Middle","0175111","201415"
"Middle","0175111","201516"
"Middle","0175211","201314"
"Middle","0175211","201415"
"Middle","0175211","201516"
"Middle","0176111","201314"
"Middle","0176111","201415"
"Middle","0176111","201516"
"Middle","0176211","201314"
"Middle","0176211","201415"
"Middle","0176211","201516"
"Low","0180311","201314"
"Low","0180311","201415"
"Low","0180311","201516"
"Low","0180411","201314"
"Low","0180411","201415"
"Low","0180411","201516"
"Low","0185311","201314"
"Low","0185311","201415"
"Low","0185311","201516"
"Low","0186111","201314"
"Low","0186111","201415"
"Low","0186111","201516"
"Middle","0190111","201314"
"Middle","0190111","201415"
"Middle","0190111","201516"
"Middle","0195111","201314"
"Middle","0195111","201415"
"Middle","0195111","201516"
"Low","0210111","201314"
"Low","0210111","201415"
"Low","0210111","201516"
"Middle","0220211","201314"
"Middle","0220211","201415"
"Middle","0220211","201516"
"Middle","0225111","201314"
"Middle","0225111","201415"
"Middle","0225111","201516"
"Middle","0230211","201314"
"Middle","0230211","201415"
"Low","0230211","201516"
"Low","0230311","201314"
"Low","0230311","201415"
"Low","0230311","201516"
"Low","0235111","201314"
"Low","0235111","201415"
"Low","0235111","201516"
"Low","0236111","201314"
"Low","0236111","201415"
"Low","0236111","201516"
"Middle","0240211","201314"
"Middle","0240211","201415"
"Middle","0240211","201516"
"Low","0250111","201314"
"Low","0250111","201415"
"Low","0250111","201516"
"Low","0250211","201314"
"Low","0250211","201415"
"Low","0250211","201516"
"Low","0250411","201314"
"Low","0250411","201415"
"Low","0250411","201516"
"Low","0250511","201314"
"Low","0250511","201415"
"Low","0250511","201516"
"Low","0250611","201314"
"Low","0250611","201415"
"Low","0250611","201516"
"Low","0255111","201314"
"Low","0255111","201415"
"Low","0255111","201516"
"Low","0256111","201314"
"Low","0256111","201415"
"Low","0256111","201516"
"Middle","0260111","201314"
"Middle","0260111","201415"
"Low","0260111","201516"
"Middle","0270111","201314"
"Middle","0270111","201415"
"Middle","0270111","201516"
"Middle","0270311","201314"
"Middle","0270311","201415"
"Middle","0270311","201516"
"Middle","0275111","201314"
"Middle","0275111","201415"
"Middle","0275111","201516"
"Middle","0276111","201314"
"Middle","0276111","201415"
"Middle","0276111","201516"
"Middle","0280211","201314"
"Middle","0280211","201415"
"Middle","0280211","201516"
"Middle","0280411","201314"
"Middle","0280411","201415"
"Middle","0280411","201516"
"Middle","0285111","201314"
"Middle","0285111","201415"
"Middle","0285111","201516"
"Middle","0286111","201314"
"Middle","0286111","201415"
"Middle","0286111","201516"
"Middle","0290111","201314"
"Middle","0290111","201415"
"Middle","0290111","201516"
"Low","0300111","201314"
"Middle","0300111","201415"
"Middle","0300111","201516"
"Middle","0310111","201314"
"Middle","0310111","201415"
"Middle","0310111","201516"
"Middle","0320211","201314"
"Middle","0320211","201415"
"Middle","0320211","201516"
"Middle","0320411","201314"
"Middle","0320411","201415"
"Middle","0320411","201516"
"Middle","0325111","201314"
"Middle","0325111","201415"
"Middle","0325111","201516"
"Middle","0326111","201314"
"Middle","0326111","201415"
"Middle","0326111","201516"
"Middle","0330211","201314"
"Middle","0330211","201415"
"Middle","0330211","201516"
"Middle","0330311","201314"
"Middle","0330311","201415"
"Middle","0330311","201516"
"Middle","0335111","201314"
"Middle","0335111","201415"
"Middle","0335111","201516"
"Middle","0336111","201314"
"Middle","0336111","201415"
"Middle","0336111","201516"
"N/A","0340111","201314"
"N/A","0340111","201415"
"N/A","0340111","201516"
"Middle","0340211","201314"
"Middle","0340211","201415"
"Middle","0340211","201516"
"Middle","0340311","201415"
"Middle","0340311","201516"
"Middle","0340511","201314"
"Middle","0340511","201415"
"Middle","0340511","201516"
"High","0340611","201314"
"High","0340611","201415"
"High","0340611","201516"
"High","0340811","201314"
"High","0340811","201415"
"High","0340811","201516"
"High","0341011","201314"
"High","0341011","201415"
"High","0341011","201516"
"Middle","0341111","201314"
"Middle","0341111","201415"
"Middle","0341111","201516"
"Middle","0341211","201314"
"Middle","0341211","201415"
"Middle","0341211","201516"
"Middle","0341311","201314"
"Middle","0341311","201415"
"Middle","0341311","201516"
"Middle","0341411","201314"
"High","0341411","201415"
"High","0341411","201516"
"Middle","0341511","201314"
"Middle","0341511","201415"
"Middle","0341511","201516"
"Middle","0341611","201314"
"Middle","0341611","201415"
"Middle","0341611","201516"
"Middle","0341711","201314"
"Middle","0341711","201415"
"Middle","0341711","201516"
"Middle","0341911","201314"
"Middle","0341911","201415"
"Middle","0341911","201516"
"Middle","0345111","201314"
"Middle","0345111","201415"
"Middle","0345111","201516"
"Middle","0345211","201314"
"High","0345211","201415"
"High","0345211","201516"
"Middle","0346111","201314"
"Middle","0346111","201415"
"Middle","0346111","201516"
"High","0346211","201314"
"High","0346211","201415"
"High","0346211","201516"
"Low","0350211","201314"
"Low","0350211","201415"
"Low","0350211","201516"
"Low","0350511","201314"
"Low","0350511","201415"
"Low","0350511","201516"
"Low","0350611","201314"
"Low","0350611","201415"
"Low","0350611","201516"
"Low","0350711","201314"
"Low","0350711","201415"
"Low","0350711","201516"
"Low","0351311","201314"
"Low","0351311","201415"
"Low","0351311","201516"
"Low","0355111","201314"
"Low","0355111","201415"
"Low","0355111","201516"
"Low","0356111","201314"
"Low","0356111","201415"
"Low","0356111","201516"
"Middle","0360111","201314"
"Middle","0360111","201415"
"Middle","0360111","201516"
"N/A","0370111","201516"
"High","0370411","201314"
"High","0370411","201415"
"High","0370411","201516"
"Middle","0370611","201314"
"Middle","0370611","201415"
"Middle","0370611","201516"
"Middle","0375011","201314"
"Middle","0375011","201415"
"Middle","0375011","201516"
"Middle","0376111","201314"
"Middle","0376111","201415"
"Middle","0376111","201516"
"Middle","0390111","201314"
"Middle","0390111","201415"
"Middle","0390111","201516"
"Low","0400111","201314"
"Low","0400111","201415"
"Middle","0400111","201516"
"Low","0400211","201314"
"Low","0400211","201415"
"Low","0400211","201516"
"Low","0405111","201314"
"Low","0405111","201415"
"Middle","0405111","201516"
"Low","0406111","201314"
"Low","0406111","201415"
"Low","0406111","201516"
"Middle","0410111","201314"
"Middle","0410111","201415"
"Middle","0410111","201516"
"Middle","0415111","201314"
"Middle","0415111","201415"
"Middle","0415111","201516"
"Middle","0416111","201314"
"Middle","0416111","201415"
"Middle","0416111","201516"
"Low","0420111","201314"
"Middle","0420111","201415"
"Low","0420111","201516"
"Low","0420311","201314"
"Low","0420311","201415"
"Low","0420311","201516"
"Middle","0425111","201314"
"Middle","0425111","201415"
"Low","0425111","201516"
"Low","0426111","201314"
"Middle","0426111","201415"
"Low","0426111","201516"
"Middle","0430411","201314"
"Middle","0430411","201415"
"Middle","0430411","201516"
"High","0430511","201314"
"High","0430511","201415"
"Middle","0430511","201516"
"High","0430611","201314"
"High","0430611","201415"
"Middle","0430611","201516"
"High","0430911","201314"
"High","0430911","201415"
"High","0430911","201516"
"Middle","0431011","201314"
"Middle","0431011","201415"
"Middle","0431011","201516"
"High","0431211","201314"
"High","0431211","201415"
"High","0431211","201516"
"High","0431811","201314"
"High","0431811","201415"
"Middle","0431811","201516"
"Middle","0432011","201314"
"Middle","0432011","201415"
"Middle","0432011","201516"
"High","0432211","201314"
"High","0432211","201415"
"Middle","0432211","201516"
"High","0432411","201314"
"High","0432411","201415"
"Middle","0432411","201516"
"High","0435111","201314"
"High","0435111","201415"
"Middle","0435111","201516"
"Middle","0436211","201314"
"Middle","0436211","201415"
"Middle","0436211","201516"
"Middle","0436311","201314"
"Middle","0436311","201415"
"Middle","0436311","201516"
"High","0436411","201314"
"High","0436411","201415"
"Middle","0436411","201516"
"Middle","0440111","201314"
"Middle","0440111","201415"
"Middle","0440111","201516"
"Middle","0440711","201314"
"Middle","0440711","201415"
"Middle","0440711","201516"
"High","0441011","201314"
"Middle","0441011","201415"
"Middle","0441011","201516"
"Middle","0441311","201314"
"Middle","0441311","201415"
"Middle","0441311","201516"
"Middle","0441711","201314"
"Middle","0441711","201415"
"Middle","0441711","201516"
"High","0441811","201314"
"Middle","0441811","201415"
"Middle","0441811","201516"
"High","0445111","201314"
"Middle","0445111","201415"
"Middle","0445111","201516"
"Middle","0446111","201314"
"Middle","0446111","201415"
"Middle","0446111","201516"
"Middle","0450111","201314"
"Middle","0450111","201415"
"Middle","0450111","201516"
"Middle","0450211","201314"
"Middle","0450211","201415"
"Middle","0450211","201516"
"Middle","0450411","201314"
"Middle","0450411","201415"
"Middle","0450411","201516"
"Middle","0455111","201314"
"Middle","0455111","201415"
"Middle","0455111","201516"
"Low","0456111","201314"
"Low","0456111","201415"
"Low","0456111","201516"
"Low","0460111","201314"
"Low","0460111","201415"
"Low","0460111","201516"
"Low","0465111","201314"
"Low","0465111","201415"
"Low","0465111","201516"
"Middle","0470111","201314"
"Middle","0470111","201415"
"Middle","0470111","201516"
"Middle","0475411","201314"
"Middle","0475411","201415"
"Middle","0475411","201516"
"Middle","0476111","201314"
"Middle","0476111","201415"
"Middle","0476111","201516"
"Low","0480111","201314"
"Low","0480111","201415"
"Low","0480111","201516"
"Low","0480211","201314"
"Low","0480211","201415"
"Low","0480211","201516"
"Low","0480611","201314"
"Low","0480611","201415"
"Low","0480611","201516"
"Low","0480711","201314"
"Low","0480711","201415"
"Low","0480711","201516"
"Low","0485111","201314"
"Low","0485111","201415"
"Low","0485111","201516"
"Low","0486111","201314"
"Low","0486111","201415"
"Low","0486111","201516"
"Middle","0490211","201314"
"Middle","0490211","201415"
"Middle","0490211","201516"
"Middle","0490411","201314"
"Middle","0490411","201415"
"Middle","0490411","201516"
"N/A","0491011","201516"
"Middle","0491111","201314"
"Middle","0491111","201415"
"Middle","0491111","201516"
"Middle","0491311","201314"
"Middle","0491311","201415"
"Middle","0491311","201516"
"Middle","0491511","201314"
"Middle","0491511","201415"
"Middle","0491511","201516"
"Middle","0491611","201314"
"Middle","0491611","201415"
"Middle","0491611","201516"
"Middle","0491811","201314"
"Middle","0491811","201415"
"Middle","0491811","201516"
"Middle","0495211","201314"
"Middle","0495211","201415"
"Middle","0495211","201516"
"Middle","0496111","201314"
"Middle","0496111","201415"
"Middle","0496111","201516"
"Low","0500111","201314"
"Low","0500111","201415"
"Low","0500111","201516"
"Low","0510111","201314"
"Low","0510111","201415"
"Low","0510111","201516"
"Low","0510211","201314"
"Low","0510211","201415"
"Low","0510211","201516"
"Middle","0510411","201314"
"Middle","0510411","201415"
"Middle","0510411","201516"
"Middle","0510611","201314"
"Middle","0510611","201415"
"Middle","0510611","201516"
"Low","0510711","201314"
"Low","0510711","201415"
"Low","0510711","201516"
"Low","0511211","201314"
"Low","0511211","201415"
"Low","0511211","201516"
"Low","0511311","201314"
"Low","0511311","201415"
"Low","0511311","201516"
"Low","0511411","201314"
"Low","0511411","201415"
"Low","0511411","201516"
"Low","0511611","201314"
"Low","0511611","201415"
"Low","0511611","201516"
"Low","0511711","201314"
"Low","0511711","201415"
"Low","0511711","201516"
"Low","0511811","201314"
"Low","0511811","201415"
"Low","0511811","201516"
"Middle","0515111","201314"
"Middle","0515111","201415"
"Middle","0515111","201516"
"Low","0515211","201314"
"Low","0515211","201415"
"Low","0515211","201516"
"Low","0515311","201314"
"Low","0515311","201415"
"Low","0515311","201516"
"Low","0516011","201314"
"Low","0516011","201415"
"Low","0516011","201516"
"Middle","0516211","201314"
"Middle","0516211","201415"
"Low","0516211","201516"
"Middle","0520111","201314"
"Middle","0520111","201415"
"Middle","0520111","201516"
"Low","0520211","201314"
"Low","0520211","201415"
"Low","0520211","201516"
"Low","0520311","201314"
"Low","0520311","201415"
"Low","0520311","201516"
"Low","0520411","201314"
"Low","0520411","201415"
"Low","0520411","201516"
"Low","0520511","201314"
"Low","0520511","201415"
"Low","0520511","201516"
"Low","0525111","201314"
"Low","0525111","201415"
"Low","0525111","201516"
"Low","0526111","201314"
"Low","0526111","201415"
"Low","0526111","201516"
"Middle","0530111","201314"
"Middle","0530111","201415"
"Low","0530111","201516"
"Low","0540211","201314"
"Low","0540211","201415"
"Low","0540211","201516"
"Low","0540311","201314"
"Low","0540311","201415"
"Low","0540311","201516"
"Low","0540411","201314"
"Low","0540411","201415"
"Low","0540411","201516"
"Low","0540611","201314"
"Low","0540611","201415"
"Low","0540611","201516"
"Middle","0540711","201314"
"Middle","0540711","201415"
"Middle","0540711","201516"
"Low","0540811","201314"
"Low","0540811","201415"
"Low","0540811","201516"
"Low","0540911","201314"
"Low","0540911","201415"
"Low","0540911","201516"
"Low","0545211","201314"
"Low","0545211","201415"
"Low","0545211","201516"
"Low","0546111","201314"
"Low","0546111","201415"
"Low","0546111","201516"
"Low","0560111","201314"
"Low","0560111","201415"
"Low","0560111","201516"
"Middle","0560311","201314"
"Low","0560311","201415"
"Low","0560311","201516"
"Low","0560411","201314"
"Low","0560411","201415"
"Low","0560411","201516"
"Low","0565111","201314"
"Low","0565111","201415"
"Low","0565111","201516"
"Low","0566111","201314"
"Low","0566111","201415"
"Low","0566111","201516"
"Low","0570211","201314"
"Low","0570211","201415"
"Low","0570211","201516"
"Middle","0570311","201314"
"Middle","0570311","201415"
"Middle","0570311","201516"
"Low","0570411","201314"
"Low","0570411","201415"
"Low","0570411","201516"
"Middle","0570511","201314"
"Middle","0570511","201415"
"Middle","0570511","201516"
"Middle","0570611","201314"
"Middle","0570611","201415"
"Middle","0570611","201516"
"Low","0570711","201314"
"Low","0570711","201415"
"Low","0570711","201516"
"Low","0570811","201314"
"Low","0570811","201415"
"Low","0570811","201516"
"Low","0570911","201314"
"Low","0570911","201415"
"Low","0570911","201516"
"Low","0571011","201314"
"Low","0571011","201415"
"Low","0571011","201516"
"Low","0571111","201314"
"Low","0571111","201415"
"Low","0571111","201516"
"Low","0571311","201314"
"Low","0571311","201415"
"Low","0571311","201516"
"Middle","0575111","201314"
"Low","0575111","201415"
"Low","0575111","201516"
"Low","0575211","201314"
"Low","0575211","201415"
"Low","0575211","201516"
"Middle","0575311","201314"
"Middle","0575311","201415"
"Middle","0575311","201516"
"Middle","0576111","201314"
"Middle","0576111","201415"
"Middle","0576111","201516"
"High","0580111","201415"
"Middle","0580111","201516"
"Middle","0580311","201314"
"Middle","0580311","201415"
"Middle","0580311","201516"
"Middle","0585111","201314"
"Middle","0585111","201415"
"Middle","0585111","201516"
"Middle","0586211","201314"
"Middle","0586211","201415"
"Middle","0586211","201516"
"Middle","0590111","201314"
"Middle","0590111","201415"
"Middle","0590111","201516"
"High","0590311","201314"
"High","0590311","201415"
"High","0590311","201516"
"Middle","0591211","201314"
"Middle","0591211","201415"
"Middle","0591211","201516"
"Middle","0591711","201314"
"Middle","0591711","201415"
"Middle","0591711","201516"
"Middle","0591811","201314"
"Middle","0591811","201415"
"Middle","0591811","201516"
"Middle","0591911","201314"
"Middle","0591911","201415"
"Middle","0591911","201516"
"High","0592011","201314"
"High","0592011","201415"
"Middle","0592011","201516"
"High","0595211","201314"
"High","0595211","201415"
"Middle","0595211","201516"
"Middle","0595311","201314"
"Middle","0595311","201415"
"Middle","0595311","201516"
"Middle","0596111","201314"
"Middle","0596111","201415"
"Middle","0596111","201516"
"Low","0600211","201314"
"Low","0600211","201415"
"Low","0600211","201516"
"Low","0600311","201314"
"Low","0600311","201415"
"Low","0600311","201516"
"Low","0600411","201314"
"Low","0600411","201415"
"Low","0600411","201516"
"Low","0600611","201314"
"Low","0600611","201415"
"Low","0600611","201516"
"Low","0600711","201314"
"Low","0600711","201415"
"Low","0600711","201516"
"Low","0605111","201314"
"Low","0605111","201415"
"Low","0605111","201516"
"Low","0606111","201314"
"Low","0606111","201415"
"Low","0606111","201516"
"Middle","0620111","201314"
"Middle","0620111","201415"
"Middle","0620111","201516"
"High","0620211","201314"
"High","0620211","201415"
"High","0620211","201516"
"Middle","0620311","201314"
"Middle","0620311","201415"
"Middle","0620311","201516"
"High","0620411","201314"
"High","0620411","201415"
"High","0620411","201516"
"Middle","0621011","201314"
"Middle","0621011","201415"
"Middle","0621011","201516"
"High","0621111","201314"
"High","0621111","201415"
"Middle","0621111","201516"
"Middle","0621211","201314"
"Middle","0621211","201415"
"Middle","0621211","201516"
"Middle","0621411","201314"
"Low","0621411","201415"
"Low","0621411","201516"
"Middle","0625211","201314"
"Middle","0625211","201415"
"Middle","0625211","201516"
"Middle","0626111","201314"
"Middle","0626111","201415"
"Middle","0626111","201516"
"Middle","0630111","201314"
"Middle","0630111","201415"
"Middle","0630111","201516"
"High","0640111","201314"
"High","0640111","201415"
"High","0640111","201516"
"High","0640411","201314"
"High","0640411","201415"
"High","0640411","201516"
"Middle","0640511","201314"
"Middle","0640511","201415"
"Middle","0640511","201516"
"High","0640611","201314"
"High","0640611","201415"
"High","0640611","201516"
"High","0640711","201314"
"High","0640711","201415"
"High","0640711","201516"
"High","0640811","201314"
"High","0640811","201415"
"High","0640811","201516"
"High","0640911","201314"
"High","0640911","201415"
"High","0640911","201516"
