"College Entrance and Persistence, Trend"
"All Districts"

"Notes:"
"* In this report, year means graduating class of that school year."
"* College entrance refers to the percent of high school graduates from the year who enrolled in college any time during the first year after high school."
"* College persistence refers to the percent of students who enrolled in college the first year after high school and returned for a second year (Freshman to Sophomore persistence)."

"",,,,"2009-10",,"2010-11",,"2011-12",,"2012-13",,"2013-14",
"District","District Code","School","School Code","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)","Entrance(%)","Persistence(%)"
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""",67.1,88.0,61.0,87.2,62.1,85.2,58.0,78.2,59.4,78.5
"Avon School District","=""0040011""","Avon High School","=""0046111""",81.8,96.9,84.3,95.2,86.4,95.0,86.8,94.2,88.2,95.0
"Berlin School District","=""0070011""","Berlin High School","=""0076111""",75.7,94.4,83.5,92.3,81.7,93.2,82.5,95.8,88.1,92.0
"Bethel School District","=""0090011""","Bethel High School","=""0096111""",78.3,89.4,81.1,90.7,77.9,92.8,70.6,91.3,77.7,85.6
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""",66.0,79.4,76.3,84.9,66.2,74.5,68.2,84.1,73.2,81.1
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""",N/A,N/A,N/A,N/A,N/A,N/A,56.3,*,73.1,*
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Bloomfield School District","=""0110011""","The Big Picture High School","=""0116211""",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Bolton School District","=""0120011""","Bolton High School","=""0126111""",86.4,93.0,88.2,93.3,87.9,93.1,88.8,94.4,84.4,92.6
"Branford School District","=""0140011""","Branford High School","=""0146111""",79.4,95.2,78.0,90.9,78.3,88.0,76.2,89.7,73.0,92.2
"Bridgeport School District","=""0150011""","Bassick High School","=""0156111""",52.8,68.9,45.1,71.3,44.9,77.5,50.9,67.6,41.7,71.0
"Bridgeport School District","=""0150011""","Central High School","=""0156211""",64.5,84.7,66.0,81.8,63.7,84.0,64.6,82.0,61.8,83.0
"Bridgeport School District","=""0150011""","Harding High School","=""0156311""",49.8,77.7,51.9,74.8,46.8,77.1,44.4,70.8,46.1,78.3
"Bridgeport School District","=""0150011""","Park City Academy","=""0159211""",*,*,N/A,N/A,N/A,N/A,*,*,N/A,N/A
"Bridgeport School District","=""0150011""","Pride Academy","=""0151811""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bridgeport School District","=""0150011""","The University School","=""0159111""",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Bristol School District","=""0170011""","Alternative Special Education Program (ASEP)","=""0179011""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Bristol School District","=""0170011""","Bristol Central High School","=""0176111""",66.8,85.4,66.2,86.9,62.7,90.1,65.8,86.6,63.4,87.4
"Bristol School District","=""0170011""","Bristol Eastern High School","=""0176211""",72.3,88.0,71.7,83.2,66.2,92.4,65.9,85.6,67.0,90.3
"Bristol School District","=""0170011""","Community/Vocational Program","=""0179211""",*,*,*,*,*,*,*,*,*,*
"Brookfield School District","=""0180011""","Brookfield High School","=""0186111""",85.3,91.9,79.3,89.7,83.7,91.9,89.0,94.3,85.5,93.3
"Canton School District","=""0230011""","Canton High School","=""0236111""",82.0,89.9,73.0,91.7,82.8,94.8,78.8,92.5,77.6,89.4
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""",86.9,95.0,89.0,94.6,88.7,95.2,85.9,95.4,84.7,93.9
"Cheshire School District","=""0250011""","Humiston School","=""0259011""",*,*,*,*,*,*,*,*,*,*
"Clinton School District","=""0270011""","The Morgan School","=""0276111""",75.7,90.6,70.2,87.9,67.8,96.3,76.2,90.9,75.8,91.8
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""",77.8,89.0,80.2,88.1,78.2,85.5,75.9,87.4,78.4,91.1
"Coventry School District","=""0320011""","Coventry High School","=""0326111""",73.0,88.9,65.8,89.6,67.4,82.8,71.5,89.2,71.1,91.2
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""",75.5,86.1,79.2,90.5,78.1,88.8,80.5,91.6,78.5,93.1
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""",*,*,*,*,*,*,*,*,30.0,*
"Danbury School District","=""0340011""","Danbury High School","=""0346111""",68.5,90.7,69.5,89.0,70.4,87.1,71.3,89.0,68.0,87.4
"Darien School District","=""0350011""","Darien High School","=""0356111""",83.2,94.3,81.6,96.1,86.6,97.3,90.2,97.8,89.3,96.9
"Derby School District","=""0370011""","Derby High School","=""0376111""",53.5,80.4,60.0,92.6,62.2,87.5,68.8,84.1,54.5,72.2
"East Granby School District","=""0400011""","East Granby High School","=""0406111""",93.5,93.0,82.7,93.5,76.7,91.3,67.6,89.1,80.0,83.3
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""",80.2,84.7,66.7,94.8,77.2,91.5,81.1,88.3,62.9,88.5
"East Hampton School District","=""0420011""","East Hampton High School","=""0426111""",80.0,84.8,79.1,87.3,69.3,84.9,81.0,90.2,82.9,91.8
"East Hampton School District","=""0420011""","The Learning Center at East Hampton","=""0429011""",*,*,*,*,*,*,*,*,*,*
"East Hartford School District","=""0430011""","Connecticut IB Academy","=""0436311""",82.1,95.7,81.8,85.2,100.0,100.0,94.6,100.0,95.6,95.3
"East Hartford School District","=""0430011""","East Hartford High School","=""0436211""",63.7,85.9,63.8,78.4,68.8,81.3,64.0,77.9,63.8,72.3
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""",24.6,*,23.9,*,19.4,*,27.2,28.0,20.8,*
"East Hartford School District","=""0430011""","Woodland School","=""0439011""",*,*,*,*,*,*,*,*,*,*
"East Haven School District","=""0440011""","East Haven High School","=""0446111""",62.8,90.3,70.0,87.2,72.2,88.5,69.3,85.0,65.6,86.0
"East Haven School District","=""0440011""","Pathways","=""0449011""",*,*,*,*,*,*,*,*,*,*
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""",85.4,91.4,82.1,90.5,81.8,88.0,84.8,94.4,85.3,93.2
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""",63.3,82.3,58.8,89.4,61.3,85.7,59.8,95.9,63.0,85.7
"Ellington School District","=""0480011""","Ellington High School","=""0486111""",84.7,89.0,83.6,92.3,79.0,93.2,83.6,92.8,71.9,87.0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""",74.2,82.3,77.9,91.6,69.3,90.2,63.8,80.4,71.2,77.6
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""",N/A,N/A,*,*,*,*,*,*,*,*
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""",79.2,86.4,73.4,85.3,69.8,88.5,70.3,86.1,70.6,83.4
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""",85.1,95.0,81.6,96.0,85.2,91.3,84.3,94.9,83.3,93.2
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""",82.0,91.4,81.3,93.2,83.2,94.8,86.2,94.7,81.6,96.8
"Farmington School District","=""0520011""","Farmington High School","=""0526111""",82.8,93.0,84.0,94.0,84.8,93.5,87.8,94.9,85.4,91.6
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""",84.6,94.9,83.9,96.2,88.1,95.2,88.0,96.2,85.6,95.0
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""",77.1,91.3,88.8,91.0,82.5,90.4,90.5,91.8,86.9,97.1
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""",76.5,92.8,78.9,93.1,76.8,95.0,83.2,94.6,81.5,90.1
"Griswold School District","=""0580011""","Griswold High School","=""0586211""",64.7,79.1,67.1,81.6,57.7,87.6,69.0,76.6,63.3,76.3
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""",74.3,86.5,77.6,85.6,73.3,86.6,69.6,81.9,62.7,77.5
"Guilford School District","=""0600011""","Guilford High School","=""0606111""",86.8,94.2,82.1,91.5,78.4,92.3,86.3,94.7,86.6,94.4
"Hamden School District","=""0620011""","Hamden High School","=""0626111""",71.7,86.0,73.4,90.4,70.0,87.4,70.2,86.7,73.0,86.8
"Hartford School District","=""0640011""","Bulkeley High School","=""0647111""",50.8,72.4,49.4,70.6,47.4,68.7,44.7,72.2,31.6,75.0
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""",78.6,86.4,85.2,91.3,84.8,85.7,93.9,87.1,92.5,75.5
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""",84.6,92.7,81.9,91.2,86.6,85.9,90.5,94.7,90.1,90.4
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""",45.1,65.6,41.0,64.0,26.7,*,41.3,*,34.7,38.5
"Hartford School District","=""0640011""","Great Path Academy High School at MCC","=""0647911""",N/A,N/A,N/A,N/A,N/A,N/A,77.3,80.4,79.2,76.2
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""",45.1,48.8,44.3,79.1,34.4,75.8,34.4,74.2,47.6,60.0
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""",52.0,64.2,50.9,67.3,49.5,71.7,53.8,77.2,56.3,59.3
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""",49.3,84.8,58.5,75.0,61.4,74.1,49.1,74.1,47.2,68.0
"Hartford School District","=""0640011""","Hartford Transitional Learning Academy (Secondary)","=""0649111""",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Hartford School District","=""0640011""","High School, Inc.","=""0647611""",N/A,N/A,N/A,N/A,64.0,*,72.5,67.2,50.0,81.5
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""",N/A,N/A,N/A,N/A,45.9,70.6,53.8,78.6,50.0,57.1
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""",*,*,38.1,*,30.2,*,32.0,*,34.3,*
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""",69.6,74.5,77.9,83.6,61.3,87.8,71.2,85.1,62.1,75.6
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""",76.3,89.7,67.0,84.6,73.7,84.9,83.0,74.0,75.5,78.9
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""",83.6,93.5,82.9,87.9,83.1,84.4,88.2,92.7,84.2,84.4
"Hartford School District","=""0640011""","Weaver High School","=""0646311""",48.2,79.1,39.7,67.3,N/A,N/A,N/A,N/A,N/A,N/A
"Killingly School District","=""0690011""","Killingly High School","=""0696111""",67.3,82.9,51.0,82.4,65.2,80.2,60.1,79.8,63.7,82.5
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""",69.4,95.2,70.7,87.5,73.5,86.0,77.3,88.2,72.8,89.6
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""",75.8,86.6,67.5,83.9,73.1,83.0,77.4,90.2,75.6,88.8
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""",*,*,*,*,*,*,*,*,N/A,N/A
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""",79.2,85.7,83.9,87.7,81.4,92.8,71.3,88.7,85.9,89.1
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""",83.9,93.7,85.7,96.2,88.7,96.5,86.8,96.8,88.2,96.4
"Manchester School District","=""0770011""","Manchester High School","=""0776111""",70.9,89.0,67.2,85.6,69.4,83.0,68.3,82.0,59.3,80.3
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""",*,*,*,*,*,*,*,*,*,*
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""",N/A,N/A,*,*,*,*,*,*,*,*
"Meriden School District","=""0800011""","Francis T. Maloney High School","=""0806111""",64.1,80.4,65.2,79.8,56.1,83.1,62.5,82.7,58.7,87.8
"Meriden School District","=""0800011""","Orville H. Platt High School","=""0806211""",53.7,79.5,59.6,78.5,53.7,84.6,54.6,74.8,61.6,76.5
"Middletown School District","=""0830011""","Middletown High School","=""0836211""",67.9,85.4,72.7,86.5,69.0,87.2,65.3,87.9,71.2,88.6
"Middletown School District","=""0830011""","Transition to Life Center","=""0839111""",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""",70.4,88.4,73.4,94.5,71.1,90.7,67.5,88.3,68.6,92.6
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""",77.3,91.5,80.1,92.9,76.2,89.9,78.0,87.2,78.9,92.3
"Monroe School District","=""0850011""","Masuk High School","=""0856111""",85.2,92.1,84.2,96.1,85.2,96.2,83.3,91.3,82.7,92.6
"Montville School District","=""0860011""","Montville High School","=""0866111""",75.9,82.1,73.4,82.7,66.3,85.9,69.6,89.1,64.1,87.2
"Montville School District","=""0860011""","Palmer Academy","=""0869011""",*,*,*,*,*,*,*,*,*,*
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""",59.0,85.8,67.4,89.1,64.8,87.9,68.4,83.9,63.3,88.5
"New Britain School District","=""0890011""","Academic Extension Center","=""0899211""",*,*,*,*,N/A,N/A,N/A,N/A,N/A,N/A
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"New Britain School District","=""0890011""","CLIMB","=""0899411""",N/A,N/A,N/A,N/A,*,*,*,*,*,*
"New Britain School District","=""0890011""","New Britain High School","=""0896111""",55.4,78.9,57.6,79.8,57.3,79.1,57.2,76.7,62.0,79.1
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""",*,*,*,*,N/A,N/A,*,*,*,*
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""",81.0,94.0,78.8,95.9,86.7,95.7,87.0,96.9,87.8,94.9
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""",81.7,88.6,80.3,91.3,84.5,92.4,83.5,92.8,84.2,94.4
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",59.8,75.9,69.1,72.3,73.4,86.8,73.8,82.2,74.7,75.4
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",57.6,63.2,65.5,80.6,57.8,80.8,47.7,85.7,69.4,84.0
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",75.8,85.3,80.7,86.8,82.9,85.3,77.6,82.0,77.3,81.5
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",69.4,76.0,66.7,90.9,57.1,75.0,61.3,*,71.4,60.0
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",58.9,68.5,61.1,78.8,59.5,77.7,55.5,77.4,61.1,73.4
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",65.5,*,62.5,60.0,75.7,64.3,60.0,77.1,68.6,67.8
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",72.2,84.6,66.0,87.9,72.7,70.8,73.2,75.6,74.2,80.4
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0936511""",*,*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""",*,*,*,*,*,*,*,*,*,*
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",15.2,*,38.3,*,26.5,*,44.0,*,40.0,*
"New Haven School District","=""0930011""","Sound School","=""0936711""",62.2,78.6,72.7,77.5,76.3,73.8,70.3,75.0,75.0,90.0
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",56.8,73.7,51.8,65.7,53.4,76.1,54.3,75.6,54.2,71.1
"Newington School District","=""0940011""","Newington High School","=""0946111""",78.6,90.2,82.5,89.4,78.9,93.3,77.5,92.2,80.7,91.8
"New London School District","=""0950011""","New London Clinical Day Program","=""0959111""",*,*,*,*,N/A,N/A,*,*,N/A,N/A
"New London School District","=""0950011""","New London High School","=""0956111""",52.6,67.5,56.5,79.0,63.9,68.9,56.4,75.2,57.8,73.1
"New Milford School District","=""0960011""","Litchfield Hills Transition Center","=""0969011""",*,*,*,*,*,*,*,*,*,*
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",77.0,88.5,74.6,91.7,81.4,91.3,75.2,93.2,78.0,93.4
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",83.0,93.4,85.4,90.9,83.3,93.6,85.1,91.9,85.5,95.2
"Newtown School District","=""0970011""","STARR","=""0979011""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",81.6,94.2,79.7,93.3,80.1,94.2,79.9,93.1,73.2,87.1
"North Branford School District","=""0990011""","School to Work Program","=""0999011""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",81.8,90.9,81.5,92.3,80.0,94.9,81.1,91.6,78.8,91.3
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",78.8,90.2,72.1,81.8,52.1,80.0,74.5,80.0,66.1,75.7
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",71.8,87.3,74.9,90.4,74.9,88.1,77.4,92.3,75.9,85.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",75.8,89.9,73.9,86.7,76.0,87.9,78.5,91.8,77.5,86.5
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",44.1,*,39.4,*,*,*,*,*,44.8,*
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""",*,*,*,*,*,*,*,*,*,*
"Norwich School District","=""1040011""","Thames River Academy","=""1046111""",*,*,*,*,*,*,N/A,N/A,N/A,N/A
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""",N/A,N/A,N/A,N/A,N/A,N/A,*,*,*,*
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",84.0,94.0,88.5,96.0,82.6,95.6,84.2,90.2,81.3,92.3
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",73.2,92.7,79.2,90.7,80.4,95.5,83.3,91.2,83.3,91.4
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",61.6,80.3,57.4,84.2,51.9,75.0,48.0,75.6,67.1,75.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",70.4,87.4,71.3,85.9,71.8,84.3,78.6,89.8,76.3,85.2
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,*,*
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",65.3,88.9,61.5,81.3,59.8,86.8,60.9,85.7,75.4,88.0
"Portland School District","=""1130011""","Portland High School","=""1136111""",78.4,88.4,74.1,88.3,77.6,92.4,84.1,98.6,82.5,87.1
"Putnam School District","=""1160011""","Helping Hands","=""1169011""",*,*,*,*,*,*,*,*,*,*
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",66.7,65.4,54.8,79.4,55.0,78.8,60.8,72.9,40.0,76.9
"Ridgefield School District","=""1180011""","Ridgefield High School","=""1186111""",87.2,96.3,86.0,95.0,88.9,94.6,87.9,96.3,88.5,97.0
"Ridgefield School District","=""1180011""","Ridgefield Transition Program","=""1189011""",N/A,N/A,*,*,N/A,N/A,*,*,N/A,N/A
"Rocky Hill School District","=""1190011""","Rocky Hill High School","=""1196111""",82.2,89.1,81.3,90.4,80.0,92.9,83.6,91.3,78.0,91.3
